,Temperature (K),Volume (angstrom^3),W Number,W Loading
0,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
1,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
2,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
3,373.0,20361326440.296295,2.8518518518518516,7.407407407407408e-07
4,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
5,373.0,20361326440.296295,2.8518518518518516,0.0
6,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
7,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
8,373.0,20361326440.296295,2.8518518518518516,7.407407407407408e-07
9,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
10,373.0,20361326440.296295,2.8518518518518516,1.111111111111111e-06
11,373.0,20361326440.296295,2.8518518518518516,7.407407407407408e-07
12,373.0,20361326440.296295,2.8518518518518516,0.0
13,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
14,373.0,20361326440.296295,2.8518518518518516,0.0
15,373.0,20361326440.296295,2.8518518518518516,0.0
16,373.0,20361326440.296295,2.8518518518518516,0.0
17,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
18,373.0,20361326440.296295,2.8518518518518516,1.111111111111111e-06
19,373.0,20361326440.296295,2.8518518518518516,3.703703703703704e-07
20,373.0,20361326440.296295,2.8518518518518516,0.0
21,373.0,20361326440.296295,2.8518518518518516,7.407407407407408e-07
22,373.0,20361326440.296295,2.8518518518518516,0.0
23,373.0,20361326440.296295,2.8518518518518516,0.0
24,373.0,20361326440.296295,2.8518518518518516,7.407407407407408e-07
25,373.0,20361326440.296295,2.8518518518518516,7.407407407407408e-07
26,373.0,20361326440.296295,2.8518518518518516,7.407407407407408e-07
27,373.0,20361326440.296295,2.8518518518518516,0.0
28,373.0,20361326440.296295,2.8518518518518516,7.407407407407408e-07
29,373.0,20361326440.296295,2.8518518518518516,7.407407407407408e-07
30,373.0,20361326440.296295,2.8518518518518516,0.0
31,373.0,20361326440.296295,2.8518518518518516,0.0
32,373.0,318145725.6296296,2.8518518518518516,2.8888888888888888e-05
33,373.0,318145725.6296296,2.8518518518518516,2.8518518518518517e-05
34,373.0,318145725.6296296,2.8518518518518516,3.851851851851851e-05
35,373.0,318145725.6296296,2.8518518518518516,3.2962962962962964e-05
36,373.0,318145725.6296296,2.8518518518518516,3.3333333333333335e-05
37,373.0,318145725.6296296,2.8518518518518516,3.518518518518518e-05
38,373.0,318145725.6296296,2.8518518518518516,3.481481481481481e-05
39,373.0,318145725.6296296,2.8518518518518516,3.0370370370370368e-05
40,373.0,318145725.6296296,2.8518518518518516,2.8518518518518517e-05
41,373.0,318145725.6296296,2.8518518518518516,3.185185185185185e-05
42,373.0,318145725.6296296,2.8518518518518516,3.3703703703703706e-05
43,373.0,318145725.6296296,2.8518518518518516,3.222222222222222e-05
44,373.0,318145725.6296296,2.8518518518518516,2.8888888888888888e-05
45,373.0,318145725.6296296,2.8518518518518516,2.925925925925926e-05
46,373.0,318145725.6296296,2.8518518518518516,2.9999999999999997e-05
47,373.0,318145725.6296296,2.8518518518518516,3.222222222222222e-05
48,373.0,318145725.6296296,2.8518518518518516,3.592592592592593e-05
49,373.0,318145725.6296296,2.8518518518518516,3.444444444444445e-05
50,373.0,318145725.6296296,2.8518518518518516,3.222222222222222e-05
51,373.0,318145725.6296296,2.8518518518518516,3.6666666666666666e-05
52,373.0,318145725.6296296,2.8518518518518516,3.222222222222222e-05
53,373.0,318145725.6296296,2.8518518518518516,3.481481481481481e-05
54,373.0,318145725.6296296,2.8518518518518516,3.3333333333333335e-05
55,373.0,318145725.6296296,2.8518518518518516,2.8888888888888888e-05
56,373.0,318145725.6296296,2.8518518518518516,3.074074074074074e-05
