,Temperature (K),Volume (angstrom^3),E Number,E Loading Mean,E Loading STD
0,463.0,1152.0,8.166666666666666,8.113162057291667,0.000667486767203239
1,463.0,89478485.33333333,8.166666666666666,0.023773020833333335,0.00019003194975341167
2,463.0,5726623061.333333,8.166666666666666,0.000369921875,1.71180533546032e-05
3,463.0,366503875925.3333,8.166666666666666,5.3125e-06,2.13223848858945e-06
4,463.0,1501199875790165.2,8.166666666666666,0.0,0.0
5,463.0,45812984490.666664,8.166666666666666,4.8203125e-05,6.2434318786436595e-06
6,463.0,2932031007402.6665,8.166666666666666,6.770833333333333e-07,7.915981329984721e-07
7,463.0,1.2009599006321322e+16,8.166666666666666,0.0,0.0
8,463.0,23456248059221.332,8.166666666666666,7.8125e-08,2.429004961741879e-07
9,463.0,187649984473770.66,8.166666666666666,5.208333333333334e-08,2.0171788261496964e-07
10,463.0,21845.333333333332,8.166666666666666,7.372627994791667,0.00606466767825877
11,463.0,715827882.6666666,8.166666666666666,0.00297734375,4.923302262194612e-05
12,463.0,174762.66666666666,8.166666666666666,4.9285049999999995,0.016953460270622406
13,463.0,11184810.666666666,8.166666666666666,0.18961812500000003,0.0015513934848360286
14,463.0,1398101.3333333333,8.166666666666666,1.37320890625,0.010543099117180073
15,463.0,9216.0,8.166666666666666,7.787130234375001,0.0028780458671892224
16,353.0,23456248059221.332,8.166666666666666,1.979166666666667e-06,9.716019846967515e-07
17,353.0,89478485.33333333,8.166666666666666,0.6205840364583333,0.013152522910161255
18,353.0,1398101.3333333333,8.166666666666666,7.20088015625,0.009191539456937077
19,353.0,11184810.666666666,8.166666666666666,4.075547421875,0.03838695118617488
20,353.0,174762.66666666666,8.166666666666666,8.020111328125001,0.0017546532982390668
21,353.0,5726623061.333333,8.166666666666666,0.00832359375,0.00013192295032346925
22,353.0,2932031007402.6665,8.166666666666666,1.5885416666666665e-05,3.1522251565362526e-06
23,353.0,1152.0,8.166666666666666,8.165643307291667,3.4176500347384665e-05
24,353.0,9216.0,8.166666666666666,8.1586275,0.00018803350026598385
25,353.0,45812984490.666664,8.166666666666666,0.0010384374999999999,3.096519523549339e-05
26,353.0,366503875925.3333,8.166666666666666,0.00013088541666666668,9.742646577105671e-06
27,353.0,21845.333333333332,8.166666666666666,8.147759296875002,0.00026374844567201607
28,353.0,1501199875790165.2,8.166666666666666,5.208333333333334e-08,2.0171788261496967e-07
29,353.0,1.2009599006321322e+16,8.166666666666666,0.0,0.0
30,353.0,187649984473770.66,8.166666666666666,2.0833333333333336e-07,4.166666666666667e-07
31,353.0,715827882.6666666,8.166666666666666,0.06816322916666667,0.0008619899797911905
32,343.0,1152.0,8.166666666666666,8.166057161458333,2.6810208862681296e-05
33,343.0,5726623061.333333,8.166666666666666,0.012502604166666667,0.0001464680754820538
34,343.0,366503875925.3333,8.166666666666666,0.00019528645833333334,1.2746883767804997e-05
35,343.0,89478485.33333333,8.166666666666666,1.0162989062499999,0.01950126014384221
36,343.0,1398101.3333333333,8.166666666666666,7.534888932291667,0.005989038501431707
37,343.0,11184810.666666666,8.166666666666666,5.063727760416667,0.023572848407654123
38,343.0,174762.66666666666,8.166666666666666,8.076774661458334,0.0013505287490026326
39,343.0,23456248059221.332,8.166666666666666,2.3437500000000002e-06,1.2747123177625435e-06
40,343.0,1.2009599006321322e+16,8.166666666666666,0.0,0.0
41,343.0,1501199875790165.2,8.166666666666666,1.3020833333333334e-07,3.0257682392245447e-07
42,343.0,715827882.6666666,8.166666666666666,0.10431497395833333,0.0023411930170845487
43,343.0,9216.0,8.166666666666666,8.161839843749998,0.00010652465267535883
44,343.0,21845.333333333332,8.166666666666666,8.155171614583333,0.00026105620948294685
45,343.0,187649984473770.66,8.166666666666666,2.604166666666667e-07,4.388619673529354e-07
46,343.0,45812984490.666664,8.166666666666666,0.0015539583333333334,4.201210969602825e-05
47,343.0,2932031007402.6665,8.166666666666666,2.4192708333333335e-05,3.804490533630766e-06
48,473.0,2932031007402.6665,8.166666666666666,4.947916666666668e-07,5.840536846876513e-07
49,473.0,187649984473770.66,8.166666666666666,0.0,0.0
50,473.0,89478485.33333333,8.166666666666666,0.01954625,0.00016369379866758028
51,473.0,5726623061.333333,8.166666666666666,0.0003019010416666667,1.8794200650243077e-05
52,473.0,1.2009599006321322e+16,8.166666666666666,0.0,0.0
53,473.0,1501199875790165.2,8.166666666666666,0.0,0.0
54,473.0,23456248059221.332,8.166666666666666,2.604166666666667e-08,1.449938636153652e-07
55,473.0,1152.0,8.166666666666666,8.097309765624999,0.0007565787920010694
56,473.0,9216.0,8.166666666666666,7.688658359374999,0.004242531374104271
57,473.0,45812984490.666664,8.166666666666666,3.713541666666667e-05,4.898879814559651e-06
58,473.0,174762.66666666666,8.166666666666666,4.503144921875,0.011009481520440975
59,473.0,11184810.666666666,8.166666666666666,0.15512606770833332,0.00128272767489842
60,473.0,1398101.3333333333,8.166666666666666,1.1398879166666664,0.007899332288721549
61,473.0,21845.333333333332,8.166666666666666,7.1954390625,0.00669898397325086
62,473.0,366503875925.3333,8.166666666666666,4.218750000000001e-06,2.0299140906151123e-06
63,473.0,715827882.6666666,8.166666666666666,0.00244640625,4.310307287761578e-05
64,453.0,2932031007402.6665,8.166666666666666,8.333333333333334e-07,7.216878364870323e-07
65,453.0,5726623061.333333,8.166666666666666,0.00046135416666666666,2.0841404686478205e-05
66,453.0,21845.333333333332,8.166666666666666,7.5307838020833335,0.005166120358959785
67,453.0,9216.0,8.166666666666666,7.869136041666667,0.0023227679604867425
