,Temperature (K),Volume (angstrom^3),C5 Number,C5 Loading
0,403.0,174762.66666666666,8.0,7.99946
1,403.0,174762.66666666666,8.0,7.999203333333334
2,403.0,174762.66666666666,8.0,7.9994966666666665
3,403.0,174762.66666666666,8.0,7.999710833333334
4,403.0,174762.66666666666,8.0,7.9997225
5,403.0,174762.66666666666,8.0,7.999969166666666
6,403.0,174762.66666666666,8.0,7.998995833333333
7,403.0,174762.66666666666,8.0,7.999408333333334
8,403.0,174762.66666666666,8.0,7.999100833333333
9,403.0,174762.66666666666,8.0,7.999743333333334
10,403.0,174762.66666666666,8.0,7.998241666666666
11,403.0,174762.66666666666,8.0,7.999173333333334
12,403.0,174762.66666666666,8.0,7.9991650000000005
13,403.0,174762.66666666666,8.0,7.999721666666667
14,403.0,174762.66666666666,8.0,7.999814166666667
15,403.0,174762.66666666666,8.0,7.999188333333334
16,403.0,174762.66666666666,8.0,7.999300000000001
17,403.0,174762.66666666666,8.0,7.999718333333333
18,403.0,174762.66666666666,8.0,7.999355
19,403.0,174762.66666666666,8.0,7.999011666666667
20,403.0,174762.66666666666,8.0,7.998660833333333
21,403.0,174762.66666666666,8.0,7.9983900000000006
22,403.0,174762.66666666666,8.0,7.997834166666667
23,403.0,174762.66666666666,8.0,7.999695
24,403.0,174762.66666666666,8.0,7.9996833333333335
25,403.0,174762.66666666666,8.0,7.999474166666666
26,403.0,174762.66666666666,8.0,7.9992149999999995
27,403.0,174762.66666666666,8.0,7.999020833333333
28,403.0,174762.66666666666,8.0,7.999675833333334
29,403.0,174762.66666666666,8.0,7.9997275
30,403.0,174762.66666666666,8.0,7.999185
31,403.0,174762.66666666666,8.0,7.999075833333333
32,403.0,11184810.666666666,8.0,7.960215000000001
33,403.0,11184810.666666666,8.0,7.9634325
34,403.0,11184810.666666666,8.0,7.94892
35,403.0,11184810.666666666,8.0,7.9513525
36,403.0,11184810.666666666,8.0,7.964084166666667
37,403.0,11184810.666666666,8.0,7.973602499999999
38,403.0,11184810.666666666,8.0,7.971255833333333
39,403.0,11184810.666666666,8.0,7.9262075
40,403.0,11184810.666666666,8.0,7.950986666666666
41,403.0,11184810.666666666,8.0,7.979111666666667
42,403.0,11184810.666666666,8.0,7.981541666666666
43,403.0,11184810.666666666,8.0,7.947266666666667
44,403.0,11184810.666666666,8.0,7.97316
45,403.0,11184810.666666666,8.0,7.975926666666666
46,403.0,11184810.666666666,8.0,7.9776525000000005
47,403.0,11184810.666666666,8.0,7.971025
48,403.0,11184810.666666666,8.0,7.951926666666666
49,403.0,11184810.666666666,8.0,7.941860833333333
50,403.0,11184810.666666666,8.0,7.965228333333333
51,403.0,11184810.666666666,8.0,7.955743333333333
52,403.0,11184810.666666666,8.0,7.924528333333334
53,403.0,11184810.666666666,8.0,7.9568525
54,403.0,11184810.666666666,8.0,7.952959166666666
55,403.0,11184810.666666666,8.0,7.956286666666667
56,403.0,11184810.666666666,8.0,7.963583333333333
57,403.0,11184810.666666666,8.0,7.942835
58,403.0,11184810.666666666,8.0,7.972170833333333
59,403.0,11184810.666666666,8.0,7.969554166666666
60,403.0,11184810.666666666,8.0,7.9370225
61,403.0,11184810.666666666,8.0,7.976384166666667
62,403.0,11184810.666666666,8.0,7.9620074999999995
63,403.0,11184810.666666666,8.0,7.9730799999999995
64,403.0,1398101.3333333333,8.0,7.9963266666666675
65,403.0,1398101.3333333333,8.0,7.9959983333333335
66,403.0,1398101.3333333333,8.0,7.988619166666666
67,403.0,1398101.3333333333,8.0,7.991668333333333
68,403.0,1398101.3333333333,8.0,7.995440833333333
69,403.0,1398101.3333333333,8.0,7.998163333333333
70,403.0,1398101.3333333333,8.0,7.9974324999999995
71,403.0,1398101.3333333333,8.0,7.997871666666666
72,403.0,1398101.3333333333,8.0,7.995545833333334
73,403.0,1398101.3333333333,8.0,7.995214166666667
74,403.0,1398101.3333333333,8.0,7.990139166666666
75,403.0,1398101.3333333333,8.0,7.9966325000000005
76,403.0,1398101.3333333333,8.0,7.995315833333334
77,403.0,1398101.3333333333,8.0,7.9897725
78,403.0,1398101.3333333333,8.0,7.996809166666666
79,403.0,1398101.3333333333,8.0,7.997683333333334
80,403.0,1398101.3333333333,8.0,7.99415
81,403.0,1398101.3333333333,8.0,7.995445833333334
82,403.0,1398101.3333333333,8.0,7.978225833333333
83,403.0,1398101.3333333333,8.0,7.996476666666666
84,403.0,1398101.3333333333,8.0,7.996295833333334
85,403.0,1398101.3333333333,8.0,7.994994166666667
86,403.0,1398101.3333333333,8.0,7.994684166666667
87,403.0,1398101.3333333333,8.0,7.997834166666667
88,403.0,1398101.3333333333,8.0,7.995550000000001
89,403.0,1398101.3333333333,8.0,7.995255
90,403.0,1398101.3333333333,8.0,7.996229166666667
91,403.0,1398101.3333333333,8.0,7.9946166666666665
92,403.0,1398101.3333333333,8.0,7.98877
93,403.0,1398101.3333333333,8.0,7.9970558333333335
94,403.0,1398101.3333333333,8.0,7.9960916666666675
95,403.0,1398101.3333333333,8.0,7.995934166666667
96,403.0,5726623061.333333,8.0,1.8970200000000002
97,403.0,5726623061.333333,8.0,1.8221299999999998
98,403.0,5726623061.333333,8.0,2.3661391666666667
99,403.0,5726623061.333333,8.0,1.8259666666666667
100,403.0,5726623061.333333,8.0,2.0839
101,403.0,5726623061.333333,8.0,2.0743525000000003
102,403.0,5726623061.333333,8.0,2.0174458333333334
103,403.0,5726623061.333333,8.0,2.130834166666667
104,403.0,5726623061.333333,8.0,1.9501958333333331
105,403.0,5726623061.333333,8.0,1.9741625
106,403.0,5726623061.333333,8.0,1.8254616666666665
107,403.0,5726623061.333333,8.0,1.8910908333333334
108,403.0,5726623061.333333,8.0,1.9757449999999999
109,403.0,5726623061.333333,8.0,1.8323491666666667
110,403.0,5726623061.333333,8.0,2.07647
111,403.0,5726623061.333333,8.0,1.9880475000000002
112,403.0,5726623061.333333,8.0,1.8314158333333335
113,403.0,5726623061.333333,8.0,2.2374516666666664
114,403.0,5726623061.333333,8.0,1.9677475
115,403.0,5726623061.333333,8.0,2.1637766666666667
116,403.0,5726623061.333333,8.0,1.9890474999999999
117,403.0,5726623061.333333,8.0,1.7949225
118,403.0,5726623061.333333,8.0,2.0884791666666667
119,403.0,5726623061.333333,8.0,2.0070216666666667
120,403.0,5726623061.333333,8.0,1.829815
121,403.0,5726623061.333333,8.0,1.96424
122,403.0,5726623061.333333,8.0,2.2916666666666665
123,403.0,5726623061.333333,8.0,1.8809383333333332
124,403.0,5726623061.333333,8.0,1.8156591666666666
125,403.0,5726623061.333333,8.0,1.8602466666666666
126,403.0,5726623061.333333,8.0,2.2269941666666666
127,403.0,5726623061.333333,8.0,1.9172158333333333
128,403.0,2932031007402.6665,8.0,0.0017193800000000002
129,403.0,2932031007402.6665,8.0,0.0016815666666666668
130,403.0,2932031007402.6665,8.0,0.0015777333333333334
131,403.0,2932031007402.6665,8.0,0.0017338025
132,403.0,2932031007402.6665,8.0,0.0015124475
133,403.0,2932031007402.6665,8.0,0.0015745816666666666
134,403.0,2932031007402.6665,8.0,0.0015988908333333333
135,403.0,2932031007402.6665,8.0,0.0017594233333333334
136,403.0,2932031007402.6665,8.0,0.0016126975000000001
137,403.0,2932031007402.6665,8.0,0.0016368983333333333
138,403.0,2932031007402.6665,8.0,0.0016677383333333334
139,403.0,2932031007402.6665,8.0,0.0017132141666666668
140,403.0,2932031007402.6665,8.0,0.0016318349999999999
141,403.0,2932031007402.6665,8.0,0.0018330816666666666
142,403.0,2932031007402.6665,8.0,0.0016144949999999999
143,403.0,2932031007402.6665,8.0,0.00162922
144,403.0,2932031007402.6665,8.0,0.0016895808333333333
145,403.0,2932031007402.6665,8.0,0.0016479258333333333
146,403.0,2932031007402.6665,8.0,0.0015969991666666666
