,Temperature (K),Volume (angstrom^3),W Number,W Loading Mean,W Loading STD
0,383.0,23456248059221.332,2.5,0.0,0.0
1,383.0,89478485.33333333,2.5,0.0005491666666666666,2.0484580922136437e-05
2,383.0,21845.333333333332,2.5,1.5593765625,0.017797931155557608
3,383.0,5726623061.333333,2.5,8.645833333333333e-06,2.4978289183920413e-06
4,383.0,2932031007402.6665,2.5,2.604166666666667e-08,1.449938636153652e-07
5,383.0,9216.0,2.5,2.043142942708333,0.008779588677328315
6,383.0,1152.0,2.5,2.437337760416667,0.0025284398619125287
7,383.0,366503875925.3333,2.5,2.604166666666667e-07,5.285881023485532e-07
8,383.0,45812984490.666664,2.5,1.119791666666667e-06,9.906107605005331e-07
9,383.0,187649984473770.66,2.5,0.0,0.0
10,383.0,1501199875790165.2,2.5,0.0,0.0
11,383.0,1.2009599006321322e+16,2.5,0.0,0.0
12,383.0,1398101.3333333333,2.5,0.035366015625,0.00035357915328509384
13,383.0,174762.66666666666,2.5,0.28953390625000003,0.0052816621857456935
14,383.0,715827882.6666666,2.5,6.9140625e-05,6.433029647274162e-06
15,383.0,11184810.666666666,2.5,0.0044199999999999995,5.495894932684854e-05
16,413.0,89478485.33333333,2.5,0.0003911458333333333,2.176036430901632e-05
17,413.0,5726623061.333333,2.5,5.833333333333334e-06,2.2146137109863854e-06
18,413.0,1398101.3333333333,2.5,0.0248653125,0.000260176952170964
19,413.0,174762.66666666666,2.5,0.19541747395833337,0.0028413675343868616
20,413.0,9216.0,2.5,1.7557007291666666,0.014473681406655753
21,413.0,11184810.666666666,2.5,0.003121640625,4.362854389805983e-05
22,413.0,366503875925.3333,2.5,0.0,0.0
23,413.0,21845.333333333332,2.5,1.16811359375,0.012262103538084745
24,413.0,45812984490.666664,2.5,1.0156250000000001e-06,9.254872731206699e-07
25,413.0,187649984473770.66,2.5,0.0,0.0
26,413.0,2932031007402.6665,2.5,0.0,0.0
27,413.0,1152.0,2.5,2.385348203125,0.0036534325986681683
28,413.0,23456248059221.332,2.5,0.0,0.0
29,413.0,1.2009599006321322e+16,2.5,0.0,0.0
30,413.0,1501199875790165.2,2.5,0.0,0.0
31,413.0,715827882.6666666,2.5,4.869791666666667e-05,7.930189930032502e-06
32,403.0,23456248059221.332,2.5,0.0,0.0
33,403.0,715827882.6666666,2.5,5.356770833333334e-05,5.095589626054356e-06
34,403.0,1.2009599006321322e+16,2.5,0.0,0.0
35,403.0,1501199875790165.2,2.5,0.0,0.0
36,403.0,21845.333333333332,2.5,1.2896540364583333,0.013150602540703821
37,403.0,1398101.3333333333,2.5,0.027839947916666666,0.00029436084077029125
38,403.0,187649984473770.66,2.5,0.0,0.0
39,403.0,45812984490.666664,2.5,6.25e-07,7.216878364870323e-07
40,403.0,11184810.666666666,2.5,0.003482760416666667,5.322271956227116e-05
41,403.0,174762.66666666666,2.5,0.22044950520833334,0.004225897411777608
42,403.0,9216.0,2.5,1.85141375,0.011954206724837064
43,403.0,2932031007402.6665,2.5,0.0,0.0
44,403.0,1152.0,2.5,2.4044970052083334,0.0032323164534672046
45,403.0,5726623061.333333,2.5,7.03125e-06,2.7476118102312455e-06
46,403.0,366503875925.3333,2.5,7.8125e-08,2.429004961741879e-07
47,403.0,89478485.33333333,2.5,0.00043598958333333337,2.3706500276969278e-05
48,393.0,366503875925.3333,2.5,1.0416666666666668e-07,3.4548174899535417e-07
