,Temperature (K),Volume (angstrom^3),W Number,W Loading Mean,W Loading STD
0,373.0,20361326440.296295,2.8518518518518516,3.935185185185186e-07,3.4567556766361296e-07
1,373.0,318145725.6296296,2.8518518518518516,3.256944444444444e-05,2.673886670102939e-06
2,373.0,162890611522.37036,2.8518518518518516,5.787037037037038e-08,1.3447858840997979e-07
3,373.0,4096.0,2.8518518518518516,2.6441470023148153,0.011619438035993182
4,373.0,621378.3703703703,2.8518518518518516,0.01704479166666667,0.00022187258253286075
5,373.0,77672.29629629629,2.8518518518518516,0.20152200231481482,0.034833437562834996
6,373.0,4971026.962962963,2.8518518518518516,0.002094490740740741,2.5125499469542176e-05
7,373.0,9709.037037037036,2.8518518518518516,2.3707000925925925,0.014373684516656207
8,373.0,39768215.7037037,2.8518518518518516,0.0002622569444444444,9.980845585031844e-06
9,373.0,1303124892178.963,2.8518518518518516,0.0,0.0
10,373.0,83399993099453.62,2.8518518518518516,0.0,0.0
11,373.0,512.0,2.8518518518518516,2.8260939930555553,0.0014723973304153952
12,373.0,667199944795629.0,2.8518518518518516,0.0,0.0
13,373.0,5337599558365032.0,2.8518518518518516,0.0,0.0
14,373.0,10424999137431.703,2.8518518518518516,0.0,0.0
15,373.0,2545165805.037037,2.8518518518518516,3.946759259259259e-06,1.1287541195862156e-06
16,443.0,2545165805.037037,2.8518518518518516,2.6273148148148148e-06,1.1541040823310625e-06
17,443.0,162890611522.37036,2.8518518518518516,1.1574074074074076e-08,6.444171716238451e-08
18,443.0,39768215.7037037,2.8518518518518516,0.0001643402777777778,7.007267914568645e-06
19,443.0,512.0,2.8518518518518516,2.686952175925926,0.007097230412856778
20,443.0,4096.0,2.8518518518518516,1.7296745370370372,0.035730753199847254
21,443.0,10424999137431.703,2.8518518518518516,0.0,0.0
22,443.0,318145725.6296296,2.8518518518518516,2.1261574074074073e-05,3.2498013221429285e-06
23,443.0,667199944795629.0,2.8518518518518516,0.0,0.0
24,443.0,9709.037037037036,2.8518518518518516,0.8483670833333333,0.03378530068881017
25,443.0,5337599558365032.0,2.8518518518518516,0.0,0.0
26,443.0,621378.3703703703,2.8518518518518516,0.010596145833333334,8.104067735995224e-05
27,443.0,4971026.962962963,2.8518518518518516,0.0013297800925925925,2.0630464810999786e-05
28,443.0,83399993099453.62,2.8518518518518516,0.0,0.0
29,443.0,77672.29629629629,2.8518518518518516,0.08521195601851853,0.0008829036886756997
30,443.0,20361326440.296295,2.8518518518518516,2.777777777777778e-07,2.928034870526277e-07
31,443.0,1303124892178.963,2.8518518518518516,0.0,0.0
32,453.0,2545165805.037037,2.8518518518518516,2.6157407407407407e-06,8.48309361194847e-07
33,453.0,162890611522.37036,2.8518518518518516,1.1574074074074076e-08,6.444171716238451e-08
34,453.0,9709.037037037036,2.8518518518518516,0.7149610300925926,0.018941493458780535
35,453.0,39768215.7037037,2.8518518518518516,0.0001570949074074074,7.239479249185178e-06
36,453.0,4096.0,2.8518518518518516,1.5585697222222223,0.027606140900440116
37,453.0,1303124892178.963,2.8518518518518516,0.0,0.0
38,453.0,512.0,2.8518518518518516,2.649264259259259,0.0096615613766925
39,453.0,318145725.6296296,2.8518518518518516,1.974537037037037e-05,2.7861563454102787e-06
40,453.0,5337599558365032.0,2.8518518518518516,0.0,0.0
41,453.0,667199944795629.0,2.8518518518518516,0.0,0.0
42,453.0,621378.3703703703,2.8518518518518516,0.010059675925925927,8.269237816583524e-05
43,453.0,4971026.962962963,2.8518518518518516,0.0012605671296296297,2.0485153121564e-05
44,453.0,77672.29629629629,2.8518518518518516,0.08059460648148148,0.0008070628030827949
45,453.0,83399993099453.62,2.8518518518518516,0.0,0.0
46,453.0,20361326440.296295,2.8518518518518516,2.893518518518519e-07,3.033644079185453e-07
47,453.0,10424999137431.703,2.8518518518518516,0.0,0.0
