,Temperature (K),Volume (angstrom^3),C4 Number,C4 Loading Mean,C4 Loading STD
0,403.0,715827882.6666666,8.75,2.7412412760416665,0.21923808111716153
1,403.0,9216.0,8.75,8.748936458333333,0.0003727289448371655
2,403.0,366503875925.3333,8.75,0.0020012388020833336,0.00011851389934287827
3,403.0,21845.333333333332,8.75,8.746447916666668,0.0014070568672862212
4,403.0,1.2009599006321322e+16,8.75,2.0593888020833333e-07,7.976201232711168e-07
5,403.0,1501199875790165.2,8.75,2.1360072916666665e-07,8.272720892454168e-07
6,403.0,187649984473770.66,8.75,4.118530833333334e-06,3.4617884551088808e-06
7,403.0,11184810.666666666,8.75,8.248620598958333,0.0447567355364334
8,403.0,174762.66666666666,8.75,8.728913802083333,0.0060894174802704915
9,403.0,1398101.3333333333,8.75,8.582102083333334,0.02283365238904199
10,403.0,45812984490.666664,8.75,0.0163388890625,0.0007661519468100681
11,403.0,23456248059221.332,8.75,2.7887304166666666e-05,1.0910999018989974e-05
12,403.0,5726623061.333333,8.75,0.148290890625,0.008818840605916879
13,403.0,89478485.33333333,8.75,7.1008358593750005,0.08694166744132305
14,403.0,2932031007402.6665,8.75,0.00024762603125,3.288539481854906e-05
15,403.0,1152.0,8.75,8.749805208333333,0.0001520654955291863
16,393.0,715827882.6666666,8.75,5.022251770833333,0.17655685303577262
17,393.0,1.2009599006321322e+16,8.75,1.0375578125e-07,5.776877412813373e-07
18,393.0,1501199875790165.2,8.75,3.1618565104166664e-07,9.830850028270455e-07
19,393.0,23456248059221.332,8.75,5.010987447916667e-05,1.3130149319633336e-05
20,393.0,2932031007402.6665,8.75,0.00038402519010416664,4.462768965209001e-05
21,393.0,187649984473770.66,8.75,6.64421828125e-06,4.247503219702241e-06
22,393.0,1152.0,8.75,8.749930208333332,5.8324031996535175e-05
23,393.0,45812984490.666664,8.75,0.02671971119791667,0.0017107464827015022
24,393.0,366503875925.3333,8.75,0.003213678177083333,0.00015984262137410253
25,393.0,9216.0,8.75,8.749041666666667,0.002420655831128813
26,393.0,11184810.666666666,8.75,8.399495130208333,0.04077157372225732
27,393.0,5726623061.333333,8.75,0.27702516666666666,0.024963401708393035
28,393.0,174762.66666666666,8.75,8.738521354166668,0.0050881551318134235
29,393.0,21845.333333333332,8.75,8.748334375,0.0010512326387455172
30,393.0,1398101.3333333333,8.75,8.670683593749999,0.016880205792241754
31,393.0,89478485.33333333,8.75,7.681709895833333,0.0780808397046433
32,383.0,23456248059221.332,8.75,8.483007838541667e-05,2.3536666502018113e-05
33,383.0,5726623061.333333,8.75,0.7861814973958333,0.09893256941387371
34,383.0,9216.0,8.75,8.749636979166667,0.00030155800226920604
35,383.0,1.2009599006321322e+16,8.75,2.0734539062499998e-07,8.031029048327642e-07
36,383.0,1501199875790165.2,8.75,1.5841412760416668e-06,2.396149989925498e-06
37,383.0,21845.333333333332,8.75,8.749431770833333,0.0003802550627676053
38,383.0,187649984473770.66,8.75,9.572045494791666e-06,5.8806815884117165e-06
39,383.0,89478485.33333333,8.75,8.108021692708334,0.04858798128338563
40,383.0,2932031007402.6665,8.75,0.0006698131223958334,4.294632076722018e-05
41,383.0,715827882.6666666,8.75,6.496814739583334,0.11822013203557409
42,383.0,366503875925.3333,8.75,0.005306915598958333,0.00022084280466749253
43,383.0,45812984490.666664,8.75,0.045594196875,0.0027454178532974986
44,383.0,174762.66666666666,8.75,8.742787239583333,0.004201004336129875
45,383.0,11184810.666666666,8.75,8.539903645833332,0.03661589310942658
46,383.0,1152.0,8.75,8.749969270833333,2.8062237068892295e-05
47,383.0,1398101.3333333333,8.75,8.712449479166667,0.012250096183278191
48,413.0,174762.66666666666,8.75,8.706113802083333,0.014149286766933371
49,413.0,11184810.666666666,8.75,7.975508671875,0.04169454536701346
50,413.0,1398101.3333333333,8.75,8.526069531250002,0.032962240313713996
51,413.0,21845.333333333332,8.75,8.744384635416665,0.0018536985707996807
52,413.0,1.2009599006321322e+16,8.75,1.0479544270833334e-07,5.834763312984537e-07
53,413.0,1501199875790165.2,8.75,1.0526989583333333e-07,5.86117974499662e-07
54,413.0,9216.0,8.75,8.747535416666667,0.0019228241220054798
55,413.0,5726623061.333333,8.75,0.08612270286458334,0.004707607411103116
56,413.0,89478485.33333333,8.75,6.253662317708333,0.10319416425871389
57,413.0,187649984473770.66,8.75,2.854458489583333e-06,3.1914706682826737e-06
58,413.0,366503875925.3333,8.75,0.0012677102083333332,0.00010123739162986717
59,413.0,715827882.6666666,8.75,1.152263359375,0.09023109642564364
60,413.0,2932031007402.6665,8.75,0.00015261551302083332,2.4193973555901447e-05
