,Temperature (K),Volume (angstrom^3),C5 Number,C5 Loading Mean,C5 Loading STD
0,403.0,174762.66666666666,8.0,7.999285546874999,0.0004764407795089792
1,403.0,11184810.666666666,8.0,7.959930130208334,0.014686109864930652
2,403.0,1398101.3333333333,8.0,7.994570078125,0.003868838197698867
3,403.0,5726623061.333333,8.0,1.9874359114583333,0.1495603064192575
4,403.0,2932031007402.6665,8.0,0.0016557603385416667,7.751549364248411e-05
5,403.0,187649984473770.66,8.0,2.8062112239583333e-05,9.691665722742409e-06
6,403.0,1501199875790165.2,8.0,2.8723885416666667e-06,2.989247133939163e-06
7,403.0,1152.0,8.0,7.999998828124999,4.5684387481699204e-06
8,403.0,1.2009599006321322e+16,8.0,3.2447536458333335e-07,1.0088349960485812e-06
9,403.0,89478485.33333333,8.0,7.716752708333333,0.05690716835132138
10,403.0,23456248059221.332,8.0,0.00020869355208333332,2.5307389743959552e-05
11,403.0,21845.333333333332,8.0,7.999947369791666,6.861068883332681e-05
12,403.0,9216.0,8.0,7.99996296875,5.520909492397229e-05
13,403.0,715827882.6666666,8.0,6.722843828125001,0.22275255516024778
14,403.0,45812984490.666664,8.0,0.1265245546875,0.007189783063444715
15,403.0,366503875925.3333,8.0,0.013684684635416666,0.0007393119618247603
16,393.0,9216.0,8.0,7.999988854166666,3.0165019234442313e-05
17,393.0,366503875925.3333,8.0,0.024698000260416665,0.0013183212628001138
18,393.0,5726623061.333333,8.0,4.876238229166667,0.2837183933692236
19,393.0,21845.333333333332,8.0,7.999992265625,1.1294730471062789e-05
20,393.0,89478485.33333333,8.0,7.909263125,0.02362642864121762
21,393.0,1398101.3333333333,8.0,7.997340833333333,0.0016424357864161013
22,393.0,174762.66666666666,8.0,7.9997317187500006,0.00029836220599783824
23,393.0,11184810.666666666,8.0,7.985214166666667,0.007029559324514996
24,393.0,1.2009599006321322e+16,8.0,4.320207291666666e-07,1.1430330363693605e-06
25,393.0,1501199875790165.2,8.0,5.965126953125e-06,4.378437957672958e-06
26,393.0,23456248059221.332,8.0,0.00036153580989583335,3.873183655928126e-05
27,393.0,715827882.6666666,8.0,7.526311432291667,0.09244708445828119
28,393.0,45812984490.666664,8.0,0.29087128906250004,0.03335176690725591
29,393.0,2932031007402.6665,8.0,0.002955835859375,0.00015418115958643774
30,393.0,1152.0,8.0,7.999999140625,4.784797499434982e-06
31,393.0,187649984473770.66,8.0,4.249552734375e-05,1.0757577598809426e-05
32,383.0,715827882.6666666,8.0,7.834024062499999,0.035571519193969364
33,383.0,21845.333333333332,8.0,7.999987239583334,6.292992323789323e-05
34,383.0,187649984473770.66,8.0,8.453963125000001e-05,1.7257764871847158e-05
35,383.0,9216.0,8.0,7.999968984375,0.0001329517218623291
36,383.0,366503875925.3333,8.0,0.050240776822916666,0.007241733037312345
37,383.0,45812984490.666664,8.0,1.4490702083333333,0.2307040089879403
38,383.0,1501199875790165.2,8.0,1.148410265625e-05,5.703294110763562e-06
39,383.0,1.2009599006321322e+16,8.0,1.1995577864583332e-06,2.0638294517417136e-06
40,383.0,2932031007402.6665,8.0,0.0054559109375,0.00016742665483218742
41,383.0,5726623061.333333,8.0,6.7658545312500005,0.21726472019787801
42,383.0,89478485.33333333,8.0,7.968949583333334,0.011285000917285112
43,383.0,1152.0,8.0,8.0,0.0
44,383.0,23456248059221.332,8.0,0.0006759805208333333,5.99981610160561e-05
45,383.0,1398101.3333333333,8.0,7.999238177083333,0.0005870411342438547
46,383.0,11184810.666666666,8.0,7.995569739583334,0.003739110116516063
47,383.0,174762.66666666666,8.0,7.9999525260416675,9.890974341623012e-05
48,413.0,89478485.33333333,8.0,7.58614640625,0.05537951300561849
49,413.0,2932031007402.6665,8.0,0.0009567812552083333,6.284038262219717e-05
50,413.0,23456248059221.332,8.0,0.00012246748307291665,2.2005630685571737e-05
51,413.0,174762.66666666666,8.0,7.997927760416667,0.0013238507928638298
52,413.0,11184810.666666666,8.0,7.9186511458333335,0.029088367326954422
53,413.0,1398101.3333333333,8.0,7.985435833333334,0.007304728069554539
54,413.0,1152.0,8.0,7.9999918489583335,1.42197754132846e-05
55,413.0,5726623061.333333,8.0,0.8315290833333333,0.06304276660860889
56,413.0,187649984473770.66,8.0,1.45684315625e-05,5.99953787654585e-06
57,413.0,9216.0,8.0,7.999823046875001,0.0004544837678052479
58,413.0,45812984490.666664,8.0,0.06773342161458334,0.0036207400829020337
59,413.0,21845.333333333332,8.0,7.9998165624999995,0.00018027765405640136
60,413.0,715827882.6666666,8.0,5.116582760416667,0.1665808813129106
61,413.0,1501199875790165.2,8.0,1.1040256510416667e-06,1.862515263504486e-06
62,413.0,1.2009599006321322e+16,8.0,4.411456510416666e-07,1.1671965785523907e-06
63,413.0,366503875925.3333,8.0,0.0077981109375,0.00024566483331472146
64,433.0,2932031007402.6665,8.0,0.0003581319635416667,3.403879014572358e-05
65,433.0,5726623061.333333,8.0,0.21152501041666666,0.01050024064164453
66,433.0,89478485.33333333,8.0,6.024903281249999,0.19273681239585405
67,433.0,9216.0,8.0,7.9992425520833335,0.0006965030751874919
68,433.0,21845.333333333332,8.0,7.998604791666667,0.0009444212798424977
69,433.0,23456248059221.332,8.0,4.2164999140625e-05,1.4022717613869714e-05
70,433.0,187649984473770.66,8.0,5.406811666666667e-06,5.058975962026129e-06
71,433.0,715827882.6666666,8.0,2.1081256510416666,0.06356116249949399
72,433.0,1152.0,8.0,7.999907057291667,0.00010214432369703218
73,433.0,366503875925.3333,8.0,0.0028277530729166668,0.00011754208689670644
74,433.0,1398101.3333333333,8.0,7.904805703125,0.022846617614423366
75,433.0,174762.66666666666,8.0,7.986127343750001,0.005840947966954417
76,433.0,11184810.666666666,8.0,7.626655651041666,0.0682048906306186
77,433.0,45812984490.666664,8.0,0.023044639322916668,0.0008429522484283187
78,433.0,1.2009599006321322e+16,8.0,0.0,0.0
79,433.0,1501199875790165.2,8.0,8.817833333333333e-07,1.5273425457298748e-06
80,493.0,9216.0,8.0,7.931277213541666,0.016575932567365215
81,493.0,21845.333333333332,8.0,7.882320338541666,0.014543351916822185
82,493.0,45812984490.666664,8.0,0.001917819453125,7.942545172411843e-05
83,493.0,715827882.6666666,8.0,0.12598479947916666,0.0034774575294741717
84,493.0,366503875925.3333,8.0,0.0002286224296875,2.3786307032902407e-05
85,493.0,89478485.33333333,8.0,1.0775806510416666,0.024404607167228407
86,493.0,2932031007402.6665,8.0,3.027241744791667e-05,8.000864943220472e-06
87,493.0,1.2009599006321322e+16,8.0,0.0,0.0
88,493.0,1501199875790165.2,8.0,1.1171885416666667e-07,6.220242548853711e-07
89,493.0,187649984473770.66,8.0,3.3156075520833334e-07,1.0308772211432881e-06
90,493.0,23456248059221.332,8.0,2.775120104166667e-06,3.05026257876265e-06
91,493.0,5726623061.333333,8.0,0.015389192447916667,0.00045791458111710113
92,493.0,1152.0,8.0,7.988407864583333,0.005472922804595691
93,493.0,1398101.3333333333,8.0,6.154285833333334,0.12295096032568714
94,493.0,11184810.666666666,8.0,3.5194197395833333,0.03427643972343793
95,493.0,174762.66666666666,8.0,7.543076588541667,0.040506684336914754
96,483.0,21845.333333333332,8.0,7.934452838541667,0.014460333545989138
97,483.0,366503875925.3333,8.0,0.00033954745833333336,3.4433415514363504e-05
98,483.0,9216.0,8.0,7.963828124999999,0.011874599786750048
99,483.0,89478485.33333333,8.0,1.5458187760416666,0.039874329403204095
100,483.0,187649984473770.66,8.0,4.397755729166667e-07,1.1635909264238723e-06
101,483.0,1501199875790165.2,8.0,1.1106135416666667e-07,6.183634498168102e-07
102,483.0,5726623061.333333,8.0,0.02205378046875,0.0006970116075640589
103,483.0,1.2009599006321322e+16,8.0,0.0,0.0
104,483.0,45812984490.666664,8.0,0.0027726430468750004,9.87492662955358e-05
105,483.0,23456248059221.332,8.0,4.983504088541667e-06,4.495000245314339e-06
106,483.0,2932031007402.6665,8.0,3.939892864583333e-05,1.1075486828739032e-05
107,483.0,1152.0,8.0,7.994455442708333,0.003829344488210857
108,483.0,715827882.6666666,8.0,0.18683993489583334,0.006246680628497881
109,483.0,1398101.3333333333,8.0,6.795398125,0.10864732010887453
110,483.0,11184810.666666666,8.0,4.044521875,0.08438867614471934
111,483.0,174762.66666666666,8.0,7.6602767187500005,0.04889948985668279
112,423.0,1.2009599006321322e+16,8.0,0.0,0.0
113,423.0,1501199875790165.2,8.0,8.821817968749999e-07,2.1568803110531186e-06
114,423.0,45812984490.666664,8.0,0.038027815625,0.0014284309542555093
115,423.0,2932031007402.6665,8.0,0.0005806823203125,4.433325718314217e-05
116,423.0,11184810.666666666,8.0,7.796186614583333,0.03164367025533218
117,423.0,174762.66666666666,8.0,7.995528229166666,0.0018428125294404768
118,423.0,1398101.3333333333,8.0,7.9589921875,0.017848240290184475
119,423.0,21845.333333333332,8.0,7.9995800260416665,0.0002868731454472954
120,423.0,9216.0,8.0,7.999732265625001,0.0003686173981436446
121,423.0,715827882.6666666,8.0,3.2740084635416666,0.1407386675034516
122,423.0,23456248059221.332,8.0,7.829942005208333e-05,1.707349805910892e-05
123,423.0,187649984473770.66,8.0,8.707850104166667e-06,5.55473395959816e-06
124,423.0,1152.0,8.0,7.9999290104166665,0.0002995151201245215
125,423.0,89478485.33333333,8.0,7.071645208333334,0.1047931464381521
126,423.0,5726623061.333333,8.0,0.4085105182291666,0.026992792736169436
127,423.0,366503875925.3333,8.0,0.004675138463541667,0.00020752613499904927
128,463.0,715827882.6666666,8.0,0.4555138307291666,0.022283946059220804
129,463.0,1152.0,8.0,7.9985334635416665,0.001163424309759294
130,463.0,1.2009599006321322e+16,8.0,1.099871875e-07,6.123827429304036e-07
131,463.0,2932031007402.6665,8.0,8.652983697916666e-05,1.556903496471803e-05
132,463.0,1501199875790165.2,8.0,3.3110770833333335e-07,1.0294787218212764e-06
133,463.0,23456248059221.332,8.0,1.3811287213541667e-05,8.4988727803442e-06
134,463.0,187649984473770.66,8.0,1.4470554947916666e-06,2.3348947683083847e-06
135,463.0,45812984490.666664,8.0,0.006047980078125,0.0002067459410881848
136,463.0,1398101.3333333333,8.0,7.520295494791666,0.06555345781997597
137,463.0,11184810.666666666,8.0,5.873647734375,0.20057248858543375
138,463.0,174762.66666666666,8.0,7.897810286458333,0.01717018489131064
139,463.0,5726623061.333333,8.0,0.04874259348958333,0.0016724991117930384
140,463.0,89478485.33333333,8.0,2.796180677083333,0.05783749203776591
141,463.0,9216.0,8.0,7.989252968750001,0.005071552823757504
142,463.0,21845.333333333332,8.0,7.978547994791667,0.00715186757144744
143,463.0,366503875925.3333,8.0,0.0007470079114583333,5.4373199195407506e-05
144,353.0,5726623061.333333,8.0,7.955598437499999,0.0165649381194845
145,353.0,366503875925.3333,8.0,5.415402057291667,0.3180758889470034
146,353.0,21845.333333333332,8.0,8.0,0.0
147,353.0,9216.0,8.0,8.0,0.0
148,353.0,89478485.33333333,8.0,7.999203281250001,0.0012305814939530372
149,353.0,715827882.6666666,8.0,7.9909413281249995,0.005470790495751968
150,353.0,1.2009599006321322e+16,8.0,1.0231698880208335e-05,6.511293152395388e-06
151,353.0,23456248059221.332,8.0,0.005367790338541667,0.00023759732503182118
152,353.0,1501199875790165.2,8.0,8.1702175e-05,1.6708250658976804e-05
153,353.0,2932031007402.6665,8.0,0.24532615416666664,0.29603863318937074
154,353.0,11184810.666666666,8.0,7.999914557291667,0.00011335668884165885
155,353.0,174762.66666666666,8.0,7.999997890625,8.359293872925446e-06
156,353.0,187649984473770.66,8.0,0.0006392859739583333,5.2325007216690886e-05
157,353.0,1398101.3333333333,8.0,7.999972317708334,8.37341232811897e-05
158,353.0,1152.0,8.0,8.0,0.0
159,353.0,45812984490.666664,8.0,7.661080338541666,0.1128876320056645
