,Temperature (K),Volume (angstrom^3),E Number,E Loading
0,463.0,1152.0,8.166666666666666,8.112354166666666
1,463.0,1152.0,8.166666666666666,8.1133675
2,463.0,1152.0,8.166666666666666,8.113686666666666
3,463.0,1152.0,8.166666666666666,8.111844166666666
4,463.0,1152.0,8.166666666666666,8.112996666666666
5,463.0,1152.0,8.166666666666666,8.113866666666667
6,463.0,1152.0,8.166666666666666,8.111778333333334
7,463.0,1152.0,8.166666666666666,8.113910833333334
8,463.0,1152.0,8.166666666666666,8.114345833333333
9,463.0,1152.0,8.166666666666666,8.114270833333334
10,463.0,1152.0,8.166666666666666,8.112895
11,463.0,1152.0,8.166666666666666,8.11476
12,463.0,1152.0,8.166666666666666,8.112378333333334
13,463.0,1152.0,8.166666666666666,8.112947499999999
14,463.0,1152.0,8.166666666666666,8.113401666666666
15,463.0,1152.0,8.166666666666666,8.113475
16,463.0,1152.0,8.166666666666666,8.112769166666666
17,463.0,1152.0,8.166666666666666,8.112715
18,463.0,1152.0,8.166666666666666,8.112718333333333
19,463.0,1152.0,8.166666666666666,8.1133925
20,463.0,1152.0,8.166666666666666,8.113021666666667
21,463.0,1152.0,8.166666666666666,8.112146666666666
22,463.0,1152.0,8.166666666666666,8.112940833333333
23,463.0,1152.0,8.166666666666666,8.112713333333334
24,463.0,1152.0,8.166666666666666,8.113088333333334
25,463.0,1152.0,8.166666666666666,8.11351
26,463.0,1152.0,8.166666666666666,8.113348333333333
27,463.0,1152.0,8.166666666666666,8.113400833333333
28,463.0,1152.0,8.166666666666666,8.113043333333334
29,463.0,1152.0,8.166666666666666,8.1131625
30,463.0,1152.0,8.166666666666666,8.113189166666666
31,463.0,1152.0,8.166666666666666,8.113746666666666
32,463.0,89478485.33333333,8.166666666666666,0.02362416666666667
33,463.0,89478485.33333333,8.166666666666666,0.023780833333333334
34,463.0,89478485.33333333,8.166666666666666,0.024288333333333332
35,463.0,89478485.33333333,8.166666666666666,0.023776666666666668
36,463.0,89478485.33333333,8.166666666666666,0.023735000000000003
37,463.0,89478485.33333333,8.166666666666666,0.02391916666666667
38,463.0,89478485.33333333,8.166666666666666,0.02389166666666667
39,463.0,89478485.33333333,8.166666666666666,0.0237425
40,463.0,89478485.33333333,8.166666666666666,0.0234775
41,463.0,89478485.33333333,8.166666666666666,0.02355916666666667
42,463.0,89478485.33333333,8.166666666666666,0.02397166666666667
43,463.0,89478485.33333333,8.166666666666666,0.02408333333333333
44,463.0,89478485.33333333,8.166666666666666,0.0237975
45,463.0,89478485.33333333,8.166666666666666,0.023589166666666665
46,463.0,89478485.33333333,8.166666666666666,0.0235775
47,463.0,89478485.33333333,8.166666666666666,0.023558333333333334
48,463.0,89478485.33333333,8.166666666666666,0.023435
49,463.0,89478485.33333333,8.166666666666666,0.02368416666666667
50,463.0,89478485.33333333,8.166666666666666,0.024106666666666665
51,463.0,89478485.33333333,8.166666666666666,0.023834166666666667
52,463.0,89478485.33333333,8.166666666666666,0.0237175
53,463.0,89478485.33333333,8.166666666666666,0.02369
54,463.0,89478485.33333333,8.166666666666666,0.02384333333333333
55,463.0,89478485.33333333,8.166666666666666,0.023785
