"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
363,32768,-9.620644e+00,2.752355e+00
453,32768,-9.427044e+00,0.000000e+00
413,32768,-8.942728e+00,2.772189e+00
363,16384,-5.407876e+00,1.660670e+00
363,512,-4.778509e+00,5.583258e-02
433,16384,-3.453998e+00,2.416181e+00
463,512,-1.972498e+00,3.467079e-02
463,128,-2.006021e+00,3.140504e-02
363,4096,-4.715257e+00,2.384199e-01
393,8192,-3.408506e+00,1.890540e+00
483,48,-1.860713e+00,6.395673e-02
443,48,-3.377769e+00,7.910017e-02
463,8192,1.327181e-01,3.355878e+00
343,1024,-5.393601e+00,3.967153e-02
443,256,-2.507005e+00,2.581325e-02
373,8192,-4.310812e+00,9.602166e-01
373,128,-5.071902e+00,8.913352e-02
383,64,-6.100709e+00,9.658787e-02
483,64,-1.683649e+00,4.427324e-02
423,64,-3.939759e+00,6.370255e-02
403,16384,-3.374954e+00,3.011309e+00
393,32768,-9.375026e+00,2.775306e+00
463,16384,-3.757805e+00,3.797344e+00
383,4096,-4.149583e+00,3.901934e-01
383,24,-6.779110e+00,1.316677e-01
343,4096,-5.380297e+00,3.213931e-01
353,128,-6.214234e+00,9.640910e-02
343,2048,-5.390047e+00,1.284268e-01
413,4096,-3.208826e+00,7.015339e-01
433,4096,-2.546664e+00,5.305847e-01
423,24,-4.642499e+00,1.094099e-01
433,256,-2.781033e+00,2.527180e-02
453,1024,-2.223430e+00,8.446956e-02
353,1024,-5.067113e+00,4.345412e-02
493,128,-1.209946e+00,2.835831e-02
383,8192,-4.114778e+00,1.600445e+00
423,512,-3.041085e+00,2.313856e-02
483,512,-1.464746e+00,3.612878e-02
423,128,-3.195199e+00,4.365665e-02
353,64,-8.159773e+00,9.156602e-02
493,256,-1.214906e+00,2.885522e-02
353,48,-8.374135e+00,1.651046e-01
393,24,-6.220899e+00,1.273626e-01
483,24,-2.067633e+00,5.757327e-02
393,2048,-3.925785e+00,1.616440e-01
433,2048,-2.782465e+00,2.511360e-01
453,128,-2.296934e+00,3.810599e-02
363,64,-7.431752e+00,1.455425e-01
433,8192,-1.599754e+00,2.664466e+00
403,65536,-1.535383e+01,0.000000e+00
343,48,-9.104671e+00,1.578137e-01
393,16384,-3.464356e+00,3.082021e+00
393,48,-5.907095e+00,9.090455e-02
343,32768,-8.736737e+00,1.649855e+00
403,512,-3.596629e+00,2.081381e-02
483,32768,-1.527719e+01,8.141161e-01
473,256,-1.710978e+00,2.732710e-02
443,4096,-2.403023e+00,5.660069e-01
433,24,-4.187428e+00,9.723644e-02
453,16384,-4.306941e+00,3.421190e+00
343,512,-5.396234e+00,3.162779e-02
443,1024,-2.496684e+00,9.443293e-02
353,256,-5.186663e+00,6.266767e-02
393,1024,-3.890980e+00,4.102085e-02
483,1024,-1.451528e+00,1.147984e-01
353,32768,-7.169444e+00,1.968731e+00
383,512,-4.174484e+00,2.088248e-02
483,128,-1.469847e+00,3.417996e-02
363,24,-7.947862e+00,1.036647e-01
373,48,-7.126911e+00,1.179789e-01
493,512,-1.196702e+00,4.408803e-02
