"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
413,256,-4.051934e+01,1.681215e+00
463,24,-2.898302e+01,2.740021e+00
403,524288,-3.673158e+01,2.366649e+00
393,64,-4.713452e+01,7.435405e-01
373,2048,-5.097488e+01,6.490683e-01
473,65536,-3.298477e+01,4.683451e-01
453,4096,-3.485047e+01,6.396034e-02
413,64,-4.249032e+01,3.406633e+00
343,262144,-4.460012e+01,1.571431e-01
363,262144,-4.239648e+01,2.662477e-01
453,131072,-3.450460e+01,7.890985e-01
473,256,-3.105908e+01,5.624951e-01
493,512,-3.040176e+01,4.794574e-02
453,64,-3.123561e+01,1.500819e+00
443,64,-3.423617e+01,1.607815e+00
453,524288,-3.831541e+01,3.518810e+00
443,256,-3.541449e+01,5.121344e-01
453,2048,-3.589358e+01,1.603128e-01
393,131072,-3.988166e+01,3.733500e-01
453,128,-3.059722e+01,8.541707e-01
423,1024,-4.140338e+01,5.556098e-01
343,4096,-5.984492e+01,2.045641e+00
423,32768,-3.728128e+01,8.320056e-02
453,48,-3.056772e+01,1.623581e+00
443,24,-3.357842e+01,2.031118e+00
403,64,-4.737389e+01,7.099527e+00
453,262144,-3.365211e+01,2.523532e+00
493,4096,-3.130106e+01,8.585557e-02
373,4096,-5.144875e+01,6.475072e-01
493,48,-2.221447e+01,8.428464e-01
373,512,-5.113839e+01,3.328479e+00
473,16384,-3.296326e+01,1.594881e-01
423,2048,-4.035953e+01,3.067118e-01
463,1024,-3.507198e+01,8.837321e-02
443,65536,-3.560500e+01,5.217718e-01
443,1024,-3.677694e+01,3.271019e-01
443,4096,-3.586583e+01,1.328796e-01
493,16384,-3.117375e+01,3.054333e-01
393,524288,-3.867439e+01,1.931703e+00
373,48,-5.064000e+01,0.000000e+00
453,24,-3.150941e+01,2.890624e+00
483,8192,-3.213442e+01,4.910609e-02
433,256,-3.622414e+01,8.398497e-01
353,1024,-5.926146e+01,6.489284e+00
433,65536,-3.624532e+01,4.066876e-01
443,32768,-3.544320e+01,1.386007e-01
343,524288,-4.454652e+01,4.103361e-01
473,8192,-3.297631e+01,2.003983e-01
483,48,-2.384543e+01,1.527339e+00
413,48,-4.219928e+01,1.739602e+00
363,524288,-4.215347e+01,6.971989e-01
353,131072,-4.366995e+01,2.168848e-01
343,16384,-5.781248e+01,4.540842e-01
463,524288,-4.321210e+01,1.473618e+00
393,8192,-4.143238e+01,4.914620e-01
423,512,-4.002443e+01,4.106382e-01
343,2048,-5.874413e+01,3.333655e+00
353,512,-5.499067e+01,2.067840e+00
413,524288,-3.823421e+01,1.281514e+00
413,1024,-4.321789e+01,3.561739e-01
363,16384,-4.956086e+01,9.217679e-01
353,8192,-5.660667e+01,7.399122e-01
443,2048,-3.749029e+01,1.358714e-01
483,1024,-3.327886e+01,1.035022e-01
393,16384,-4.010777e+01,2.008690e-01
