"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
393,32768,-1.845854e+01,5.853802e-01
363,65536,-1.972310e+01,5.280931e-01
373,1024,-1.969292e+01,5.565066e-02
423,512,-1.715391e+01,2.787301e-02
413,16384,-1.729056e+01,2.207391e-01
373,512,-2.069243e+01,2.721451e-02
473,65536,-1.294903e+01,3.661883e+00
493,48,-1.183543e+01,3.626971e-02
433,131072,-2.048256e+01,2.339050e+00
373,64,-2.034933e+01,3.313147e-02
483,4096,-1.407319e+01,3.373693e-02
483,1024,-1.408131e+01,2.362501e-02
473,8192,-1.456662e+01,1.169309e-01
383,64,-1.956464e+01,3.670559e-02
353,524288,-2.513654e+01,2.361723e+00
433,8192,-1.636962e+01,9.001350e-02
483,8192,-1.411136e+01,1.750282e-01
473,24,-1.270128e+01,2.702944e-02
353,128,-2.199455e+01,4.764263e-02
403,1024,-1.794072e+01,5.592508e-02
383,524288,-2.983523e+01,0.000000e+00
373,32768,-1.933336e+01,8.823126e-02
383,24,-1.945885e+01,3.129941e-02
373,65536,-1.933134e+01,9.050722e-01
493,131072,-2.044287e+01,0.000000e+00
363,512,-2.157462e+01,6.863991e-02
473,1024,-1.451476e+01,2.325680e-02
393,512,-1.909162e+01,3.708244e-02
393,2048,-1.840393e+01,3.780153e-02
413,65536,-1.571926e+01,1.330567e+00
403,256,-1.899433e+01,3.262284e-02
423,32768,-1.690276e+01,5.445850e-01
473,4096,-1.450393e+01,5.246522e-02
493,256,-1.375070e+01,2.616101e-02
473,131072,-1.718034e+01,2.592132e+00
363,128,-2.119944e+01,4.278625e-02
433,512,-1.657148e+01,2.007632e-02
443,32768,-1.596212e+01,4.531019e-01
493,32768,-1.380597e+01,1.658664e+00
413,32768,-1.747643e+01,3.550650e-01
463,512,-1.505012e+01,2.352012e-02
393,128,-1.909635e+01,2.491248e-02
413,131072,-1.756778e+01,3.568018e+00
433,64,-1.594694e+01,4.683490e-02
413,24,-1.717649e+01,3.774696e-02
353,8192,-2.053165e+01,2.941811e-02
353,256,-2.224240e+01,3.173239e-02
363,131072,-1.890568e+01,1.603645e+00
463,128,-1.503997e+01,2.889145e-02
383,262144,-2.321373e+01,0.000000e+00
403,2048,-1.790092e+01,3.018752e-02
413,1024,-1.739719e+01,2.505754e-02
453,131072,-1.770082e+01,0.000000e+00
383,8192,-1.890182e+01,4.255139e-02
383,4096,-1.891190e+01,2.307554e-02
453,1024,-1.545208e+01,3.582628e-02
353,48,-2.191051e+01,5.390854e-02
423,24,-1.639969e+01,4.009627e-02
453,48,-1.439524e+01,3.318159e-02
413,8192,-1.735317e+01,5.708324e-02
343,512,-2.319592e+01,3.347081e-02
433,2048,-1.639293e+01,2.727332e-02
483,24,-1.196714e+01,4.781524e-02
423,1024,-1.691554e+01,3.334275e-02
493,512,-1.367305e+01,3.214941e-02
403,131072,-1.725435e+01,2.377662e+00
403,24,-1.793126e+01,4.347808e-02
363,4096,-1.999204e+01,3.163255e-02
463,48,-1.374526e+01,3.330369e-02
443,16384,-1.604787e+01,2.717978e-01
373,131072,-1.988069e+01,1.416282e+00
423,65536,-1.625547e+01,1.634791e+00
