"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
343,262144,-3.231223e+01,1.848485e+00
383,24,-3.432287e+01,2.318759e+00
493,1024,-2.587042e+01,1.029280e-01
413,4096,-2.932393e+01,1.373245e-01
463,8192,-2.703931e+01,1.349804e-01
403,8192,-2.956593e+01,3.559699e-02
343,131072,-4.257873e+01,1.033088e+01
423,32768,-2.860114e+01,4.029770e-01
413,256,-2.901716e+01,4.663945e-01
363,24,-3.616608e+01,0.000000e+00
443,262144,-3.511869e+01,0.000000e+00
493,48,-1.265427e+01,5.627886e-01
483,16384,-2.601521e+01,3.046249e-01
413,24,-2.640534e+01,3.156756e+00
493,8192,-2.587645e+01,1.554983e-01
493,65536,-2.539669e+01,2.051845e+00
353,1024,-4.085555e+01,1.059455e+00
363,48,-4.217209e+01,3.814853e+00
453,64,-1.962351e+01,5.253167e-01
363,8192,-3.976067e+01,1.392894e+00
353,8192,-4.335873e+01,1.085480e+00
433,131072,-2.837974e+01,2.373063e+00
343,1024,-4.389398e+01,9.723259e-01
383,2048,-3.619920e+01,4.850692e-01
343,24,-3.587023e+01,0.000000e+00
383,16384,-3.045522e+01,6.108910e-02
403,256,-3.098762e+01,3.890422e-01
373,524288,-3.612802e+01,2.009238e+00
483,48,-1.375144e+01,5.494262e-01
403,128,-2.961809e+01,8.420193e-01
393,4096,-3.250834e+01,2.055810e+00
403,64,-3.007163e+01,1.812777e+00
403,4096,-3.089044e+01,1.382915e+00
363,64,-3.783849e+01,5.623453e+00
413,8192,-2.920116e+01,3.884362e-02
423,524288,-3.516644e+01,1.139282e+00
363,524288,-3.389471e+01,0.000000e+00
463,16384,-2.707569e+01,2.139483e-01
413,64,-2.745306e+01,1.467021e+00
483,128,-2.003136e+01,1.622608e-01
433,16384,-2.821550e+01,2.525616e-01
373,64,-3.659305e+01,2.736032e+00
403,1024,-3.395100e+01,3.450797e-01
373,1024,-3.787132e+01,5.016787e-01
423,128,-2.597411e+01,5.912775e-01
