"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dG mean [kJ/mol]","dG standard deviation [kJ/mol]"
343,2048,-4.373539e+01,4.649027e-01
473,16384,-2.727391e+01,1.367261e-01
403,32768,-3.248925e+01,4.186721e-01
373,262144,-3.467042e+01,1.276956e+00
373,524288,-3.398711e+01,1.992895e+00
483,65536,-2.768178e+01,1.485939e+00
453,131072,-2.819628e+01,1.674925e+00
453,128,-2.583162e+01,3.511718e-01
483,256,-2.668346e+01,1.095834e-01
403,1024,-3.753748e+01,2.454620e-01
363,131072,-3.550349e+01,2.402219e-01
343,8192,-4.712195e+01,2.294192e-01
433,131072,-2.911282e+01,2.094473e+00
453,8192,-2.865083e+01,7.527674e-02
453,262144,-2.756940e+01,1.357193e+00
473,256,-2.740722e+01,1.434696e-01
453,2048,-2.891267e+01,6.981582e-02
463,262144,-3.143168e+01,5.194803e-01
373,4096,-4.095290e+01,4.106887e-01
363,65536,-3.560006e+01,1.597879e-01
413,65536,-3.123842e+01,4.558329e-01
373,24,-3.709420e+01,2.796678e+00
353,65536,-3.627507e+01,2.554436e-01
343,48,-3.958209e+01,0.000000e+00
453,64,-2.390477e+01,4.476095e-01
363,262144,-3.549534e+01,9.385212e-01
423,512,-3.357141e+01,1.967815e-01
403,524288,-4.050725e+01,2.491680e+00
353,16384,-3.679405e+01,2.839449e-01
383,256,-3.482106e+01,6.547750e-01
343,65536,-3.721680e+01,2.945667e-01
433,24,-2.725543e+01,1.128584e+00
353,8192,-4.334855e+01,9.289688e-01
403,512,-3.510875e+01,2.818741e-01
403,8192,-3.238918e+01,1.192924e-01
353,256,-3.972197e+01,2.398128e+00
353,512,-4.030284e+01,1.720884e+00
353,64,-3.965222e+01,4.781462e+00
433,48,-2.681597e+01,4.362427e-01
463,24,-2.166244e+01,1.034115e+00
393,4096,-3.421836e+01,1.745576e-01
433,512,-3.295566e+01,1.423999e-01
453,512,-3.126728e+01,1.678560e-01
453,48,-2.359148e+01,4.764394e-01
343,256,-4.035513e+01,1.894690e+00
453,24,-2.375330e+01,9.217208e-01
473,8192,-2.713865e+01,1.635676e-01
453,4096,-2.867109e+01,1.036071e-01
483,4096,-2.646239e+01,1.155963e-01
483,128,-2.329921e+01,2.365952e-01
473,2048,-2.724019e+01,9.109736e-02
483,2048,-2.659158e+01,1.573194e-01
433,32768,-3.003949e+01,3.203734e-01
473,1024,-2.789118e+01,1.764820e-01
383,24,-3.697625e+01,2.656474e+00
363,4096,-4.393395e+01,3.513649e-01
433,8192,-3.006498e+01,1.804052e-01
373,512,-3.786721e+01,7.084138e-01
463,1024,-2.906579e+01,1.667864e-01
423,262144,-3.047637e+01,2.338406e+00
483,16384,-2.660914e+01,2.290058e-01
363,1024,-4.048032e+01,4.584765e-01
393,65536,-3.308428e+01,2.240232e-01
403,256,-3.173387e+01,4.934996e-01
433,65536,-2.968373e+01,8.788042e-01
383,65536,-3.413163e+01,7.535963e-01
493,64,-1.927848e+01,2.120420e-01
373,131072,-3.468664e+01,4.316911e-01
343,64,-4.017567e+01,2.989096e+00
423,524288,-3.669931e+01,0.000000e+00
