"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
473,262144,-3.383081e+04,3.383081e+04
343,65536,-2.090336e+04,2.090197e+04
473,128,-1.812968e+06,1.811981e+06
473,2048,-2.971675e+03,2.273823e+03
353,64,-4.125216e+06,4.125194e+06
403,262144,-2.359808e+04,2.359808e+04
373,256,-3.007770e+06,3.006448e+06
463,524288,-3.426305e+04,3.426305e+04
423,64,-3.593003e+06,3.592845e+06
363,524288,-3.904647e+04,3.904647e+04
393,32768,-4.047202e+04,4.047048e+04
363,65536,-2.061218e+04,2.061151e+04
373,1024,-1.138445e+05,1.128337e+05
423,512,-1.900371e+05,1.883386e+05
413,16384,-1.425033e+04,1.424350e+04
373,512,-1.013716e+06,1.012030e+06
473,65536,-2.576811e+04,2.576807e+04
493,48,-3.066991e+06,3.066646e+06
393,2048,-8.991455e+03,7.120529e+03
383,262144,-2.503594e+04,2.503594e+04
433,131072,-3.796429e+04,3.796425e+04
373,64,-3.991874e+06,3.991835e+06
483,4096,-5.959656e+03,5.871623e+03
483,1024,-8.431878e+03,6.309845e+03
473,8192,-6.722291e+03,6.708436e+03
383,64,-3.922701e+06,3.922667e+06
353,524288,-1.462187e+04,1.462187e+04
433,8192,-7.507341e+03,7.473408e+03
483,8192,-1.197142e+04,1.195982e+04
473,24,-3.454312e+06,3.454234e+06
353,128,-4.056334e+06,4.056239e+06
403,1024,-4.157416e+04,4.021507e+04
383,524288,-3.311535e+04,3.311535e+04
373,32768,-1.832302e+04,1.832035e+04
383,24,-3.952089e+06,3.952084e+06
373,65536,-2.140660e+04,2.140609e+04
493,131072,-5.171549e+04,5.171549e+04
433,262144,-2.572485e+04,2.572485e+04
453,524288,-2.537217e+04,2.537217e+04
363,512,-1.449135e+06,1.446253e+06
473,1024,-9.355009e+03,7.338003e+03
393,512,-4.895171e+05,4.881036e+05
363,1024,-1.752580e+05,1.735151e+05
413,65536,-3.613036e+04,3.613026e+04
463,256,-5.241734e+05,5.226609e+05
423,32768,-2.245799e+04,2.245744e+04
473,4096,-5.730663e+03,5.625811e+03
463,131072,-3.523080e+04,3.523077e+04
443,64,-3.391141e+06,3.390893e+06
363,128,-3.952010e+06,3.951840e+06
433,512,-1.429769e+05,1.419275e+05
443,32768,-2.574428e+04,2.574367e+04
493,32768,-3.927111e+04,3.927087e+04
463,512,-7.121512e+04,6.897894e+04
393,128,-3.536809e+06,3.536328e+06
413,131072,-2.298130e+04,2.298127e+04
433,64,-3.499351e+06,3.499018e+06
413,24,-3.787096e+06,3.787087e+06
353,8192,-3.266073e+03,2.856136e+03
423,524288,-1.701857e+04,1.701857e+04
363,131072,-1.498657e+04,1.498657e+04
463,128,-2.028829e+06,2.027667e+06
453,131072,-3.390304e+04,3.390304e+04
403,2048,-6.301253e+03,5.149977e+03
413,1024,-3.221081e+04,2.976801e+04
433,256,-1.024296e+06,1.022959e+06
