"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
423,128,-9.078349e+00,5.806247e-02
373,4096,-9.691550e+00,1.932435e+00
443,24,-2.013484e+01,2.565962e-01
393,16384,-7.806019e+00,0.000000e+00
353,16384,-4.881320e+00,0.000000e+00
443,2048,-8.581244e+00,4.850699e-01
363,8192,-1.000752e+01,2.992485e+00
453,8192,-9.124342e+00,3.584531e+00
483,4096,-8.716107e+00,1.978725e+00
393,128,-9.901387e+00,3.091652e-01
373,16384,-1.173397e+01,3.139782e+00
353,128,-2.824307e+01,1.068552e+00
343,16384,-5.422728e+00,0.000000e+00
383,1024,-9.285480e+00,1.961214e-01
383,2048,-9.455349e+00,2.522711e-01
363,512,-9.571363e+00,5.858385e-02
443,4096,-7.553454e+00,2.835167e+00
413,1024,-8.982076e+00,1.456914e-01
483,256,-8.328352e+00,1.758001e-02
483,24,-1.511533e+01,2.528195e-01
463,8192,-5.986587e+00,6.141558e-01
343,2048,-9.742643e+00,3.189291e-01
433,48,-1.913371e+01,4.923972e-01
413,128,-9.242581e+00,1.406119e-01
413,64,-2.058300e+01,3.012444e-01
373,8192,-1.090630e+01,4.222635e+00
493,512,-8.225833e+00,8.748069e-02
433,8192,-5.403037e+00,6.078302e+00
443,256,-8.650120e+00,3.248920e-02
473,256,-8.394892e+00,1.662306e-02
473,16384,-6.433544e+00,0.000000e+00
483,64,-9.562707e+00,1.901700e-01
393,2048,-9.208046e+00,3.477951e-01
343,64,-3.322868e+01,6.243042e-01
343,24,-3.350768e+01,8.547694e-01
403,4096,-9.712462e+00,9.113772e-01
473,2048,-8.420238e+00,6.779720e-01
483,2048,-7.751574e+00,5.481739e-01
493,4096,-8.621161e+00,1.937874e+00
363,4096,-9.646830e+00,1.430263e+00
363,256,-9.545974e+00,6.245313e-02
493,48,-1.075969e+01,2.554119e-01
433,65536,-7.258873e+00,0.000000e+00
433,256,-8.777859e+00,3.804709e-02
423,4096,-8.895538e+00,1.948348e+00
393,48,-2.632598e+01,5.236104e-01
