"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
353,256,-9.300827e+01,1.625172e+00
383,128,-9.045558e+01,2.103066e+00
363,4096,-8.847493e+01,4.216498e-01
393,128,-8.809548e+01,4.515267e+00
343,48,-8.803429e+01,0.000000e+00
403,48,-8.992371e+01,1.415761e+00
403,512,-8.780591e+01,8.686804e-01
373,262144,-8.013871e+01,8.102405e+00
363,64,-9.373121e+01,6.445320e+00
393,256,-8.971639e+01,1.043420e+00
373,8192,-6.571841e+01,6.969425e-01
423,2048,-6.666530e+01,6.949258e-01
483,16384,-6.044083e+01,2.426637e+00
383,512,-9.029820e+01,6.263314e-01
413,64,-8.872866e+01,9.055742e-01
443,16384,-6.216407e+01,8.097948e-01
433,262144,-8.551966e+01,0.000000e+00
353,4096,-9.019976e+01,5.524885e-01
493,512,-6.704226e+01,2.023796e-01
353,524288,-5.514175e+01,1.877910e+01
373,128,-8.977743e+01,5.374886e+00
423,128,-8.641736e+01,1.544449e+00
493,16384,-6.111368e+01,2.990155e+00
393,512,-8.936436e+01,1.268720e+00
443,262144,-3.718130e+01,0.000000e+00
453,64,-8.468902e+01,9.349759e-01
393,2048,-8.426285e+01,7.295424e-01
343,16384,-7.233558e+01,4.536324e+00
363,1024,-8.974256e+01,8.066797e-01
343,8192,-9.026118e+01,4.916764e-01
483,4096,-6.054076e+01,2.605723e-01
423,64,-8.725667e+01,5.973985e-01
403,8192,-6.284103e+01,2.754660e-01
373,24,-9.330505e+01,2.747965e+00
403,4096,-6.421795e+01,5.734675e-01
343,2048,-9.140187e+01,2.049822e+00
443,256,-8.405175e+01,5.004104e-01
463,32768,-6.048074e+01,2.447297e+00
363,32768,-6.451185e+01,4.599312e-01
373,16384,-6.391268e+01,5.138833e-01
353,131072,-6.549737e+01,3.395852e+00
373,512,-9.114384e+01,6.744179e-01
353,65536,-6.483343e+01,1.282073e+00
403,64,-8.846632e+01,1.901128e+00
383,16384,-6.363820e+01,7.581337e-01
473,1024,-6.315706e+01,3.463683e-01
413,48,-8.725275e+01,2.153241e+00
343,512,-9.146330e+01,2.967096e+00
403,32768,-6.326254e+01,1.721405e+00
423,131072,-5.428980e+01,2.171889e+00
463,16384,-6.071504e+01,1.550447e+00
493,24,-8.159345e+01,5.782865e-01
433,131072,-5.611688e+01,1.027247e+01
373,64,-9.434443e+01,3.226029e+00
443,512,-8.194623e+01,4.112256e-01
403,1024,-8.603840e+01,6.269747e-01
383,2048,-8.681162e+01,9.247708e-01
453,128,-8.455847e+01,6.456749e-01
433,64,-8.689373e+01,6.576802e-01
373,48,-9.195407e+01,3.146885e+00
353,32768,-6.619966e+01,3.053416e+00
373,2048,-8.935744e+01,1.159110e+00
413,24,-8.921078e+01,4.472136e+00
373,256,-9.170596e+01,1.153155e+00
363,2048,-9.007772e+01,1.284414e+00
493,2048,-6.017068e+01,2.797083e-01
453,48,-8.476753e+01,9.982021e-01
433,16384,-6.150182e+01,8.662409e-01
423,32768,-6.102937e+01,2.070770e+00
413,2048,-7.055719e+01,3.262577e-01
453,4096,-6.128318e+01,2.598790e-01
