"Temperature [K]","Vapor Phase Boxlength [Angstrom]","dU mean [kJ/mol]","dU standard deviation [kJ/mol]"
373,32768,-3.039473e+03,2.988964e+03
463,64,-3.205324e+06,3.189845e+06
373,128,-4.566055e+06,4.565878e+06
393,256,-4.207496e+06,4.199525e+06
433,32768,-1.817225e+03,1.813064e+03
343,262144,-4.761000e+03,4.760712e+03
383,24,-4.457942e+06,4.457933e+06
493,1024,-2.703837e+04,2.496330e+04
413,4096,-9.200166e+03,6.561951e+03
463,8192,-5.411667e+03,5.302388e+03
403,8192,-4.507250e+03,3.748331e+03
343,131072,-1.228873e+04,8.695426e+03
423,32768,-3.144907e+03,3.138149e+03
413,256,-3.637926e+06,3.618248e+06
363,24,-4.706654e+06,4.706653e+06
443,262144,-3.529354e+03,3.529354e+03
493,48,-2.693376e+06,2.671236e+06
483,16384,-2.022867e+03,2.014434e+03
413,24,-4.081409e+06,4.081130e+06
493,8192,-2.541587e+03,2.497983e+03
493,65536,-1.835952e+03,1.835949e+03
353,1024,-4.670491e+06,4.655554e+06
493,524288,-1.842019e+03,1.842019e+03
363,48,-4.677674e+06,4.677665e+06
453,64,-3.500753e+06,3.491398e+06
363,8192,-2.358992e+05,2.056764e+05
353,8192,-9.650587e+05,8.789318e+05
433,131072,-2.852740e+03,2.852733e+03
343,1024,-4.958798e+06,4.956316e+06
383,2048,-1.193677e+06,1.133198e+06
343,24,-4.895145e+06,4.895144e+06
383,16384,-4.651185e+03,4.415755e+03
403,256,-4.003905e+06,3.996156e+06
373,524288,-8.227137e+03,8.227137e+03
483,48,-2.933151e+06,2.916376e+06
403,128,-4.163521e+06,4.160182e+06
393,4096,-7.906332e+04,5.966256e+04
403,64,-4.209242e+06,4.208607e+06
403,4096,-2.660353e+04,2.005676e+04
363,64,-4.652244e+06,4.652011e+06
413,8192,-4.106737e+03,3.555480e+03
423,524288,-5.890664e+03,5.890664e+03
363,524288,-5.089381e+03,5.089381e+03
463,16384,-1.352903e+03,1.336840e+03
413,64,-4.079691e+06,4.077749e+06
483,128,-2.025459e+06,2.008163e+06
433,16384,-2.639640e+03,2.606091e+03
373,64,-4.543885e+06,4.543789e+06
403,1024,-1.648993e+06,1.599069e+06
373,1024,-3.930232e+06,3.902076e+06
463,524288,-3.752409e+03,3.752409e+03
423,128,-3.836058e+06,3.826364e+06
473,256,-1.501926e+06,1.490573e+06
373,48,-4.564497e+06,4.564476e+06
413,262144,-3.763397e+03,3.763397e+03
483,1024,-3.681832e+04,3.373964e+04
483,262144,-3.010341e+03,3.010341e+03
383,32768,-2.602362e+03,2.573390e+03
393,524288,-5.216256e+03,5.216256e+03
353,512,-4.799477e+06,4.798606e+06
413,48,-4.102953e+06,4.102320e+06
403,2048,-2.349874e+05,1.983124e+05
353,24,-4.794321e+06,4.794315e+06
343,128,-4.850028e+06,4.849897e+06
423,16384,-2.755359e+03,2.703426e+03
453,256,-2.036689e+06,2.014508e+06
393,65536,-3.788520e+03,3.785274e+03
403,524288,-1.858471e+03,1.858471e+03
443,4096,-4.820235e+03,3.545544e+03
483,64,-2.724830e+06,2.712062e+06
443,128,-3.249966e+06,3.234488e+06
373,16384,-7.028398e+04,5.310227e+04
423,8192,-4.821659e+03,4.422831e+03
473,65536,-3.318650e+03,3.318560e+03
433,64,-3.793622e+06,3.789131e+06
413,2048,-7.323613e+04,6.859803e+04
393,262144,-4.925005e+03,4.925005e+03
473,131072,-2.334989e+03,2.334877e+03
353,64,-4.802207e+06,4.802190e+06
443,24,-3.800484e+06,3.799664e+06
343,4096,-3.579676e+06,3.525601e+06
393,16384,-5.137932e+03,4.975837e+03
493,32768,-2.100472e+03,2.099911e+03
463,4096,-2.758754e+03,2.064379e+03
363,262144,-4.469150e+03,4.469114e+03
393,2048,-8.033364e+05,7.412452e+05
433,128,-3.510411e+06,3.498499e+06
483,4096,-5.843934e+03,5.373707e+03
443,1024,-1.761126e+05,1.676325e+05
483,256,-1.296863e+06,1.285888e+06
423,256,-3.218327e+06,3.202734e+06
433,4096,-5.396824e+03,3.836725e+03
383,65536,-5.545005e+03,5.540315e+03
463,1024,-7.400408e+04,6.979584e+04
453,2048,-1.473711e+04,1.117303e+04
413,1024,-1.033904e+06,1.008975e+06
383,512,-4.090915e+06,4.078184e+06
373,24,-4.532082e+06,4.532080e+06
473,524288,-2.577817e+03,2.577817e+03
403,262144,-3.581392e+03,3.581352e+03
453,524288,-3.155801e+03,3.155801e+03
423,1024,-5.408646e+05,5.149267e+05
353,256,-4.902107e+06,4.901905e+06
