,Temperature (K),Volume (angstrom^3),C5 Number,W Number,C5 Loading,W Loading
0,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,6.473322222222222e-05,0.0
1,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,8.035244444444444e-05,0.0
2,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,8.105888888888888e-05,0.0
3,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,5.100411111111112e-05,0.0
4,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,6.572922222222223e-05,0.0
5,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,9.040774074074075e-05,0.0
6,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.257599999999999e-05,0.0
7,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,8.974492592592594e-05,0.0
8,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,8.801644444444446e-05,0.0
9,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,5.326514814814815e-05,0.0
10,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,6.482481481481481e-05,0.0
11,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,9.094251851851851e-05,1.3779174074074075e-06
12,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,8.7759e-05,0.0
13,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.811985185185185e-05,0.0
14,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.266733333333332e-05,0.0
15,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.260285185185184e-05,0.0
16,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,8.745140740740741e-05,0.0
17,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,8.262055555555556e-05,0.0
18,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,6.559581481481481e-05,0.0
19,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.262162962962964e-05,0.0
20,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,6.187277777777778e-05,0.0
21,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,8.380351851851851e-05,0.0
22,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.812851851851852e-05,0.0
23,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,5.761529629629629e-05,0.0
24,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,5.753007407407408e-05,1.3697637037037037e-06
25,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.024825925925927e-05,0.0
26,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,6.9711e-05,0.0
27,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,6.851603703703703e-05,0.0
28,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.952274074074073e-05,0.0
29,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.811118518518519e-05,0.0
30,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,5.024811111111111e-05,0.0
31,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,8.79087037037037e-05,1.3735737037037036e-06
32,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
33,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
34,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
35,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
36,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
37,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
38,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
39,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
40,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
41,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
42,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
43,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
44,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
45,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
46,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
47,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
48,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,1.5341329629629632e-06,0.0
49,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
50,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
51,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,1.5318485185185183e-06,0.0
52,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
53,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
54,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
55,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
56,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,1.533117037037037e-06,0.0
57,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
58,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
59,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
60,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
61,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
62,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0
