,Temperature (K),Volume (angstrom^3),C5 Number,W Number,C5 Loading Mean,C5 Loading STD,W Loading Mean,W Loading STD
0,393.0,45812984490.666664,7.916666666666667,0.9166666666666666,0.2566125364583334,0.05300680564479342,3.1536591145833333e-07,7.790838666955747e-07
1,393.0,1152.0,7.916666666666667,0.9166666666666666,7.916664427083334,6.114636569915922e-06,0.8582959791666667,0.017613230212738102
2,393.0,2932031007402.6665,7.916666666666667,0.9166666666666666,0.0029925352604166667,0.0005724585086579388,5.323752604166666e-08,2.9641400026002683e-07
3,393.0,23456248059221.332,7.916666666666667,0.9166666666666666,0.00035758396354166667,8.562842355822518e-05,0.0,0.0
4,393.0,715827882.6666666,7.916666666666667,0.9166666666666666,7.374265260416667,0.09621267223560988,7.115147161458333e-05,2.7269790358639276e-05
5,393.0,89478485.33333333,7.916666666666667,0.9166666666666666,7.8455866145833335,0.014204154323320058,0.0005344520598958333,0.0011809943875416187
6,393.0,1501199875790165.2,7.916666666666667,0.9166666666666666,6.449782109374999e-06,3.970731747560214e-06,0.0,0.0
7,393.0,1.2009599006321322e+16,7.916666666666667,0.9166666666666666,6.400694791666667e-07,1.1087768446954125e-06,0.0,0.0
8,393.0,11184810.666666666,7.916666666666667,0.9166666666666666,7.906007942708333,0.006182682994440051,0.0036330103671875,0.00383648660687003
9,393.0,174762.66666666666,7.916666666666667,0.9166666666666666,7.9164788802083335,0.00019082407744278943,0.16314323828125,0.054964906455442795
10,393.0,21845.333333333332,7.916666666666667,0.9166666666666666,7.916637213541667,6.467654878283253e-05,0.5773019010416667,0.04013184161288817
11,393.0,1398101.3333333333,7.916666666666667,0.9166666666666666,7.915077864583333,0.0011561322188040086,0.020935600544270835,0.02113038638192699
12,393.0,5726623061.333333,7.916666666666667,0.9166666666666666,5.244266666666666,0.25364167856641695,1.0596797187500001e-05,4.4213477116466295e-06
13,393.0,187649984473770.66,7.916666666666667,0.9166666666666666,4.336837109375e-05,1.2899553646466217e-05,0.0,0.0
14,393.0,9216.0,7.916666666666667,0.9166666666666666,7.916654114583334,2.4408752894974373e-05,0.5068144166666666,0.06857606019895421
15,393.0,366503875925.3333,7.916666666666667,0.9166666666666666,0.02407862734375,0.005606195895351319,0.0,0.0
16,403.0,89478485.33333333,7.916666666666667,0.9166666666666666,7.672844661458333,0.04780160953307148,0.00039761046614583337,0.00039737141610206
17,403.0,21845.333333333332,7.916666666666667,0.9166666666666666,7.916592005208333,0.000133718496318298,0.39296471614583334,0.06221755232013128
18,403.0,23456248059221.332,7.916666666666667,0.9166666666666666,0.00020067362239583334,2.7793443109063764e-05,0.0,0.0
19,403.0,9216.0,7.916666666666667,0.9166666666666666,7.916618489583334,0.00010483917029255364,0.5776433828125,0.052394130661963044
20,403.0,2932031007402.6665,7.916666666666667,0.9166666666666666,0.0017213536979166669,0.0003092005896829496,0.0,0.0
21,403.0,5726623061.333333,7.916666666666667,0.9166666666666666,2.3331833854166666,0.2633237177566814,6.783883828125e-06,3.466491757167878e-06
22,403.0,1398101.3333333333,7.916666666666667,0.9166666666666666,7.912899973958334,0.0023327259113049025,0.017876186088541666,0.017109422163981765
23,403.0,11184810.666666666,7.916666666666667,0.9166666666666666,7.887204713541666,0.011741722197957997,0.0020819055807291664,0.0017740529995547657
24,403.0,174762.66666666666,7.916666666666667,0.9166666666666666,7.91625625,0.0002803192933959217,0.1261316984375,0.05300791957017024
25,403.0,366503875925.3333,7.916666666666667,0.9166666666666666,0.013113157812500002,0.0024969728482182804,0.0,0.0
26,403.0,45812984490.666664,7.916666666666667,0.9166666666666666,0.12773320312500003,0.02423354326253725,3.17600234375e-07,6.611562563881941e-07
27,403.0,187649984473770.66,7.916666666666667,0.9166666666666666,2.3970739036458335e-05,7.94821093154695e-06,0.0,0.0
28,403.0,1152.0,7.916666666666667,0.9166666666666666,7.916648046875,5.9328055043492495e-05,0.8481227421875,0.017904127433042108
29,403.0,715827882.6666666,7.916666666666667,0.9166666666666666,6.816916119791667,0.1653959273776879,5.593397864583333e-05,2.255395315987602e-05
30,403.0,1501199875790165.2,7.916666666666667,0.9166666666666666,3.6905794791666665e-06,2.622713092518948e-06,0.0,0.0
31,403.0,1.2009599006321322e+16,7.916666666666667,0.9166666666666666,3.7212630208333334e-07,8.648615419440066e-07,0.0,0.0
32,413.0,187649984473770.66,7.916666666666667,0.9166666666666666,1.3526525911458333e-05,5.198512383458554e-06,0.0,0.0
33,413.0,366503875925.3333,7.916666666666667,0.9166666666666666,0.00771703171875,0.0007085139595527506,0.0,0.0
34,413.0,715827882.6666666,7.916666666666667,0.9166666666666666,5.274973359375,0.2901335617020764,5.176167578125e-05,1.7194199467541437e-05
35,413.0,9216.0,7.916666666666667,0.9166666666666666,7.916361354166666,0.00031722912972562237,0.5877862317708333,0.06946985397849094
36,413.0,1.2009599006321322e+16,7.916666666666667,0.9166666666666666,1.2148796874999998e-07,4.705285810423084e-07,0.0,0.0
37,413.0,1501199875790165.2,7.916666666666667,0.9166666666666666,1.8167333333333333e-06,1.5303976137490381e-06,0.0,0.0
38,413.0,45812984490.666664,7.916666666666667,0.9166666666666666,0.06900310859375,0.012231446761738225,3.7331937499999997e-07,7.05543237555708e-07
39,413.0,21845.333333333332,7.916666666666667,0.9166666666666666,7.916405416666667,0.0003455821753658281,0.3713452578125,0.04688173040390274
40,413.0,5726623061.333333,7.916666666666667,0.9166666666666666,1.0147312526041667,0.14163976132397324,3.998772682291667e-06,2.797721089108854e-06
