,Temperature (K),Volume (angstrom^3),C5 Number,W Number,C5 Loading Mean,C5 Loading STD,W Loading Mean,W Loading STD
0,423.0,162890611522.37036,2.074074074074074,2.8518518518518516,7.360344212962963e-05,1.184575202761324e-05,1.2878921296296296e-07,4.004232347274462e-07
1,423.0,83399993099453.62,2.074074074074074,2.8518518518518516,1.437218287037037e-07,4.468494164536915e-07,0.0,0.0
2,423.0,20361326440.296295,2.074074074074074,2.8518518518518516,0.0005957321643518519,3.053608887460534e-05,1.8441582175925925e-07,4.558019996221808e-07
3,423.0,318145725.6296296,2.074074074074074,2.8518518518518516,0.04093269652777778,0.0027951211566804974,2.455379826388889e-05,4.775831399838616e-06
4,423.0,5337599558365032.0,2.074074074074074,2.8518518518518516,0.0,0.0,0.0,0.0
5,423.0,667199944795629.0,2.074074074074074,2.8518518518518516,0.0,0.0,0.0,0.0
6,423.0,512.0,2.074074074074074,2.8518518518518516,2.073377488425926,0.000538501553033826,2.766682615740741,0.044279123655902634
7,423.0,4096.0,2.074074074074074,2.8518518518518516,2.070549513888889,0.00270734322268614,2.207437233796296,0.09903599760112657
8,423.0,39768215.7037037,2.074074074074074,2.8518518518518516,0.4105441400462963,0.02024198848688709,0.0003262730671296296,9.788362714832504e-05
9,423.0,9709.037037037036,2.074074074074074,2.8518518518518516,2.069360185185185,0.0019145852314189397,1.732097025462963,0.09649916479021048
10,423.0,10424999137431.703,2.074074074074074,2.8518518518518516,9.362729861111111e-07,1.1058961624903253e-06,0.0,0.0
11,423.0,1303124892178.963,2.074074074074074,2.8518518518518516,8.451582002314815e-06,3.264302514139907e-06,0.0,0.0
12,423.0,621378.3703703703,2.074074074074074,2.8518518518518516,1.9533991782407407,0.007588783611948013,0.05242436805555556,0.0058879369960487095
13,423.0,4971026.962962963,2.074074074074074,2.8518518518518516,1.5075115972222224,0.020064513542115463,0.0055970842592592595,0.000869950181836228
14,423.0,77672.29629629629,2.074074074074074,2.8518518518518516,2.0550160416666667,0.0034322709891532375,0.4217276481481481,0.03537499986934035
15,423.0,2545165805.037037,2.074074074074074,2.8518518518518516,0.004809909375,0.00023662568043525512,2.799778634259259e-06,1.4158793165904472e-06
16,483.0,318145725.6296296,2.074074074074074,2.8518518518518516,0.007567251157407407,0.00039541647978747055,1.684755092592593e-05,3.567696818257708e-06
17,483.0,621378.3703703703,2.074074074074074,2.8518518518518516,1.3258459143518517,0.010491832161641847,0.016570878125,0.0014564932218297745
18,483.0,1303124892178.963,2.074074074074074,2.8518518518518516,1.8415286805555553e-06,1.9139125056249955e-06,0.0,0.0
19,483.0,77672.29629629629,2.074074074074074,2.8518518518518516,1.8243751967592592,0.006876969653308091,0.14390269328703703,0.00953830617527369
20,483.0,4971026.962962963,2.074074074074074,2.8518518518518516,0.4227447337962963,0.008317108585460784,0.0014243420833333334,0.0001165975869936628
21,483.0,9709.037037037036,2.074074074074074,2.8518518518518516,1.9874028240740742,0.009254186829007166,0.8269279861111112,0.04130402483142341
22,483.0,20361326440.296295,2.074074074074074,2.8518518518518516,0.00011953958796296295,1.5025497963731723e-05,2.454234837962963e-07,4.1327315048295456e-07
23,483.0,4096.0,2.074074074074074,2.8518518518518516,2.0084597800925925,0.008042154437785602,1.353430810185185,0.05951486744664464
24,483.0,10424999137431.703,2.074074074074074,2.8518518518518516,1.8958577546296295e-07,5.016267935165587e-07,0.0,0.0
25,483.0,5337599558365032.0,2.074074074074074,2.8518518518518516,0.0,0.0,0.0,0.0
26,483.0,667199944795629.0,2.074074074074074,2.8518518518518516,0.0,0.0,0.0,0.0
27,483.0,512.0,2.074074074074074,2.8518518518518516,2.0107336342592594,0.018118687401130828,2.246985439814815,0.09628173837885405
28,483.0,2545165805.037037,2.074074074074074,2.8518518518518516,0.0009390958564814815,3.2075152606540035e-05,2.2118847685185186e-06,1.3475199997532802e-06
29,483.0,39768215.7037037,2.074074074074074,2.8518518518518516,0.059202770833333335,0.002243354643963756,0.00014330768055555556,1.1013987933742498e-05
30,483.0,162890611522.37036,2.074074074074074,2.8518518518518516,1.5501570833333333e-05,3.3164657997639187e-06,2.8700555555555553e-08,1.5979793041564542e-07
31,483.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0,0.0,0.0
32,493.0,20361326440.296295,2.074074074074074,2.8518518518518516,9.125557175925926e-05,1.0246492721850318e-05,3.3276819444444443e-07,7.43086090159421e-07
33,493.0,4096.0,2.074074074074074,2.8518518518518516,1.9821433912037039,0.01046422405793582,1.2142027314814816,0.05308254992321617
34,493.0,1303124892178.963,2.074074074074074,2.8518518518518516,1.6928059837962964e-06,1.4450191950118373e-06,0.0,0.0
35,493.0,9709.037037037036,2.074074074074074,2.8518518518518516,1.9578571527777777,0.007095580934399803,0.7347330324074075,0.027997459078816532
36,493.0,83399993099453.62,2.074074074074074,2.8518518518518516,0.0,0.0,0.0,0.0
37,493.0,5337599558365032.0,2.074074074074074,2.8518518518518516,0.0,0.0,0.0,0.0
38,493.0,667199944795629.0,2.074074074074074,2.8518518518518516,0.0,0.0,0.0,0.0
39,493.0,10424999137431.703,2.074074074074074,2.8518518518518516,3.6435884259259256e-07,8.142524566564334e-07,0.0,0.0
40,493.0,318145725.6296296,2.074074074074074,2.8518518518518516,0.005995223726851852,0.00017719646560931634,1.653843472222222e-05,3.740872121268072e-06
41,493.0,621378.3703703703,2.074074074074074,2.8518518518518516,1.191092511574074,0.010420672830345049,0.01410716875,0.0010912949696724632
