,Temperature (K),Volume (angstrom^3),C5 Number,E Number,C5 Loading,E Loading
0,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,4.8090133333333336e-05,0.0
1,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,6.165481666666667e-05,0.0
2,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,4.7918291666666667e-05,0.0
3,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,4.1076200000000005e-05,0.0
4,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,4.473995833333334e-05,0.0
5,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.080335e-05,0.0
6,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,4.7979383333333333e-05,0.0
7,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,2.4074841666666664e-05,0.0
8,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,4.110828333333334e-05,0.0
9,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,2.7405516666666667e-05,0.0
10,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,2.7707358333333337e-05,0.0
11,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.784595e-05,0.0
12,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.0982774999999996e-05,0.0
13,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,6.844908333333332e-05,0.0
14,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.783500833333333e-05,0.0
15,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.4381275e-05,0.0
16,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,4.473256666666667e-05,0.0
17,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,5.165289166666667e-05,0.0
18,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,5.1381125e-05,0.0
19,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.09751e-05,0.0
20,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,5.137479166666666e-05,0.0
21,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.0824875e-05,3.4249858333333333e-06
22,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.0831208333333336e-05,0.0
23,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,4.1079575e-05,0.0
24,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,2.7415666666666666e-05,0.0
25,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,2.754935e-05,0.0
26,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,5.1402250000000004e-05,0.0
27,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.788661666666667e-05,0.0
28,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,2.0530508333333334e-05,0.0
29,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,6.5045325e-05,0.0
30,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.783189166666667e-05,0.0
31,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,3.422595e-05,0.0
32,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3971858333333333,5.664480833333333
33,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.4019433333333335,5.742209166666666
34,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.396148333333333,5.712342499999999
35,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3952541666666662,5.7077575
36,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3986175000000003,5.614351666666667
37,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.39821,5.589721666666667
38,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3991941666666663,5.629144166666666
39,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3990074999999997,5.797528333333333
40,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3956091666666666,5.622025
41,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.4002933333333334,5.706063333333333
42,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.400964166666667,5.691301666666667
