,Temperature (K),Volume (angstrom^3),C5 Number,E Number,C5 Loading Mean,C5 Loading STD,E Loading Mean,E Loading STD
0,463.0,2932031007402.6665,3.4166666666666665,8.166666666666666,4.021224739583334e-05,1.1757761872799169e-05,1.0703080729166667e-07,5.959223145634693e-07
1,463.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.3960279166666667,0.003352899611872064,5.661601822916667,0.056736662611258475
2,463.0,89478485.33333333,3.4166666666666665,8.166666666666666,1.25568984375,0.02157838180255658,0.027998528385416666,0.0007825889149121098
3,463.0,187649984473770.66,3.4166666666666665,8.166666666666666,4.1887835937500005e-07,1.1082479899913254e-06,1.047659375e-07,5.833120532509774e-07
4,463.0,9216.0,3.4166666666666665,8.166666666666666,3.3927998958333334,0.005778158162537807,6.1661779687500005,0.061337611059687006
5,463.0,5726623061.333333,3.4166666666666665,8.166666666666666,0.020854550520833334,0.0006246525253324786,0.000372206859375,2.807179932241798e-05
6,463.0,1398101.3333333333,3.4166666666666665,8.166666666666666,3.2978398437500003,0.004288228180781313,1.339235234375,0.026574949286263267
7,463.0,174762.66666666666,3.4166666666666665,8.166666666666666,3.3842197916666668,0.0022994921031157306,3.765275390625,0.03945883980721703
8,463.0,11184810.666666666,3.4166666666666665,8.166666666666666,2.777355052083333,0.0163356743857172,0.22907134114583333,0.007465304544897862
9,463.0,1501199875790165.2,3.4166666666666665,8.166666666666666,1.0279739583333333e-07,5.723516771125647e-07,0.0,0.0
10,463.0,1.2009599006321322e+16,3.4166666666666665,8.166666666666666,0.0,0.0,0.0,0.0
11,463.0,23456248059221.332,3.4166666666666665,8.166666666666666,4.324899895833333e-06,4.115405948092136e-06,1.133971875e-07,6.313688194076541e-07
12,463.0,45812984490.666664,3.4166666666666665,8.166666666666666,0.0026224396875000004,9.166222877461646e-05,4.477173958333333e-05,9.149868012487256e-06
13,463.0,366503875925.3333,3.4166666666666665,8.166666666666666,0.00031850857552083336,2.775638055855074e-05,4.043549140625e-06,3.3368570384544637e-06
14,463.0,1152.0,3.4166666666666665,8.166666666666666,3.3594538541666665,0.014750033126948973,6.823447890625,0.08254712483215194
15,463.0,715827882.6666666,3.4166666666666665,8.166666666666666,0.17174413020833335,0.0060119091792519225,0.0030914031510416665,9.46239481878039e-05
16,353.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0002703856588541667,3.0437833008825706e-05,1.9916026041666669e-07,7.713448267109654e-07
17,353.0,715827882.6666666,3.4166666666666665,8.166666666666666,3.4026753124999995,0.0024074526643660167,0.23855687760416666,0.05318359391445805
18,353.0,21845.333333333332,3.4166666666666665,8.166666666666666,3.4166030729166668,0.0002675006845054939,7.752466796875,0.04942840843679905
19,353.0,9216.0,3.4166666666666665,8.166666666666666,3.4165972656249997,0.0002389369209360766,7.939148645833333,0.031245061449875686
20,353.0,366503875925.3333,3.4166666666666665,8.166666666666666,0.28375338541666667,0.07030361547737995,0.00018153669270833334,2.5694984167199256e-05
21,353.0,45812984490.666664,3.4166666666666665,8.166666666666666,2.4570344791666665,0.07996399378895555,0.00315964921875,0.00045026285725369673
22,353.0,1.2009599006321322e+16,3.4166666666666665,8.166666666666666,5.0927664583333336e-06,4.415465759191757e-06,0.0,0.0
23,353.0,174762.66666666666,3.4166666666666665,8.166666666666666,3.4166413281249994,3.900557484131162e-05,7.216168359375001,0.09304134117383275
24,353.0,11184810.666666666,3.4166666666666665,8.166666666666666,3.4164235416666666,8.410373059497322e-05,4.1991225,0.23482596559360833
25,353.0,1398101.3333333333,3.4166666666666665,8.166666666666666,3.4165779166666668,8.430115080935841e-05,6.120516822916667,0.1619378330986644
26,353.0,1501199875790165.2,3.4166666666666665,8.166666666666666,3.603922890625e-05,1.0281089480123766e-05,1.10467734375e-07,6.150583146956979e-07
27,353.0,2932031007402.6665,3.4166666666666665,8.166666666666666,0.0194722671875,0.0037958461665843356,1.6462852994791668e-05,5.915523040886511e-06
28,353.0,5726623061.333333,3.4166666666666665,8.166666666666666,3.2990591145833337,0.014427466217749495,0.027232805468749996,0.005526937324966955
29,353.0,89478485.33333333,3.4166666666666665,8.166666666666666,3.4149339583333336,0.0004226373256443047,1.2594272135416666,0.1020121415086166
30,353.0,1152.0,3.4166666666666665,8.166666666666666,3.4166666666666665,0.0,8.124379895833332,0.010105889596984616
31,353.0,23456248059221.332,3.4166666666666665,8.166666666666666,0.002220089453125,0.0003586999070839584,2.1101319010416667e-06,1.8318305713333456e-06
32,343.0,715827882.6666666,3.4166666666666665,8.166666666666666,3.412327421875,0.0008628622266591029,0.30907963020833334,0.0471308113598469
33,343.0,366503875925.3333,3.4166666666666665,8.166666666666666,1.36778109375,0.19270986525792425,0.0005046356197916667,9.85381833152458e-05
34,343.0,1501199875790165.2,3.4166666666666665,8.166666666666666,8.0225934375e-05,1.456865035094021e-05,0.0,0.0
35,343.0,1152.0,3.4166666666666665,8.166666666666666,3.4166666666666665,0.0,8.139996119791668,0.007694070779285771
36,343.0,1.2009599006321322e+16,3.4166666666666665,8.166666666666666,8.852784713541667e-06,4.345112160235465e-06,0.0,0.0
37,343.0,187649984473770.66,3.4166666666666665,8.166666666666666,0.0006098956223958333,5.7667804464024355e-05,3.6057437500000005e-07,1.1952476685545426e-06
38,343.0,11184810.666666666,3.4166666666666665,8.166666666666666,3.4165834635416665,4.07376160113084e-05,4.697608932291667,0.16939947564587887
39,343.0,174762.66666666666,3.4166666666666665,8.166666666666666,3.4165407552083327,0.0002487333676194156,7.381232109375,0.03786860151592459
